ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b40dc1817,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,18.3645,17.8329,17.3178,16.8164,16.3264,15.8464,15.3748,14.9107,14.4533,13.9548,13.4621,12.975,12.4929,12.0155,11.5425,11.0736,10.6085,10.147,9.68856,9.15873,8.63452,8.11559,7.60158,7.09178,6.58527,6.08053,5.57524,5.06572,4.54583,3.92607,3.24968,2.51086,1.86466,1.44054,1.15562,0.942648,0.7708,0.624811,0.496248,0.366859,0.24802,0.136688,0.0306175,-0.0719414,-0.172455,-0.272268,-0.372701,-0.475149,-0.581262,-0.70575,-0.84134,-0.994069,-1.17463,-1.40496,-1.74169,-2.36528,-3.3156,-4.12074,-4.81088,-5.52023,-6.20404,-6.87808,-7.54984,-8.22302,-8.89972,-9.58088,-10.2672,-10.9591,-11.657,-1.84207e-05,-1.13412e-06,-1.20428e-06,-1.28488e-06,-1.39263e-06,-1.48742e-06,-1.61761e-06,-1.73338e-06,-1.89686e-06,-1.4804e-05,-3.47085e-06,-3.67748e-06,-4.00589e-06,-4.24613e-06,-4.5411e-06,-4.88201e-06,-5.12173e-06,-5.45742e-06,-6.3673e-06,-0.000163703,-3.44395e-05,-2.79483e-05,-2.34572e-05,-1.48546e-05,-4.08608e-06,4.92014e-06,1.5928e-05,-3.97547e-06,-0.00054949,-0.00535104,-0.00130915,0.0014313,0.00266507,0.00225708,0.000781267,0.000160717,6.77686e-05,4.13167e-05,2.74673e-05,-6.52095e-05,4.9386e-05,3.06031e-05,2.02259e-05,1.42484e-05,1.05306e-05,8.11034e-06,6.36878e-06,5.14195e-06,4.21135e-06,2.9195e-05
b40dc1817,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31411,1.32516,1.3359,1.34633,1.35645,1.36627,1.37581,1.38505,1.39401,1.40266,1.41101,1.41905,1.4268,1.43425,1.44141,1.44827,1.45485,1.46114,1.46715,1.47283,1.47818,1.48321,1.48792,1.49232,1.4964,1.50017,1.50363,1.50677,1.50959,1.51202,1.51404,1.51559,1.51675,1.51764,1.51836,1.51894,1.51942,1.51981,1.52012,1.52035,1.5205,1.52058,1.5206,1.52056,1.52045,1.52028,1.52005,1.51976,1.5194,1.51896,1.51844,1.51782,1.51709,1.51622,1.51514,1.51367,1.51162,1.50906,1.50608,1.50266,1.49881,1.49455,1.48987,1.48477,1.47925,1.47331,1.46695,1.46015,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292,1.45292
b40dc1817,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),0.678493,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.011386,0.0110564,0.0107371,0.0104262,0.0101224,0.00982474,0.00953238,0.00924466,0.00896102,0.00865196,0.00834653,0.00804448,0.00774557,0.00744959,0.00715633,0.00686564,0.0065773,0.00629112,0.00600691,0.00567841,0.0053534,0.00503167,0.00471298,0.00439691,0.00408287,0.00376993,0.00345665,0.00314074,0.00281842,0.00243417,0.0020148,0.00155673,0.00115609,0.000893138,0.000716482,0.000584442,0.000477896,0.000387383,0.000307674,0.000227453,0.000153772,8.47468e-05,1.89828e-05,-4.46037e-05,-0.000106922,-0.000168806,-0.000231075,-0.000294592,-0.000360382,-0.000437565,-0.000521631,-0.000616323,-0.00072827,-0.000871073,-0.00107985,-0.00146647,-0.00205567,-0.00255486,-0.00298274,-0.00342254,-0.00384651,-0.00426441,-0.0046809,-0.00509827,-0.00551783,-0.00594015,-0.00636569,-0.00679467,-0.00722733,-1.14208e-08,-7.03156e-10,-7.46653e-10,-7.96627e-10,-8.63429e-10,-9.22203e-10,-1.00292e-09,-1.0747e-09,-1.17605e-09,-9.17845e-09,-2.15193e-09,-2.28004e-09,-2.48365e-09,-2.6326e-09,-2.81548e-09,-3.02685e-09,-3.17547e-09,-3.3836e-09,-3.94773e-09,-1.01496e-07,-2.13525e-08,-1.73279e-08,-1.45434e-08,-9.20983e-09,-2.53337e-09,3.05048e-09,9.87536e-09,-2.46479e-09,-3.40684e-07,-3.31765e-06,-8.11675e-07,8.87406e-07,1.65234e-06,1.39939e-06,4.84386e-07,9.96447e-08,4.20165e-08,2.56163e-08,1.70297e-08,-4.04299e-08,3.06193e-08,1.89739e-08,1.254e-08,8.834e-09,6.52897e-09,5.02841e-09,3.94864e-09,3.18801e-09,2.61104e-09,1.81009e-08
b40dc1817,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999999,0.999998,0.999996,0.999991,0.999984,0.99997,0.999943,0.999894,0.999801,0.999627,0.99929,0.998474,0.996506,0.991489,0.981976,0.971294,0.961473,0.952589,0.944456,0.93691,0.929832,0.922361,0.915257,0.908454,0.901898,0.895543,0.889348,0.883278,0.877295,0.871364,0.865445,0.858838,0.852104,0.845144,0.837799,0.829808,0.820686,0.81011,0.803224,0.8012,0.800512,0.800213,0.800091,0.80004,0.800017,0.800007,0.800003,0.800001,0.800001,0.8,0.8,0.899999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.899999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89999,0.899998,0.899998,0.899999,0.899999,0.9,0.9,0.900001,0.9,0.899966,0.899668,0.899919,0.900089,0.900165,0.90014,0.900048,0.90001,0.900004,0.900003,0.900002,0.899996,0.900003,0.900002,0.900001,0.900001,0.900001,0.900001,0.9,0.9,0.9,0.900002
b40dc1817,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),-4.99773e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,351.423,369.256,386.574,403.391,419.717,435.563,450.938,465.849,480.302,494.257,507.719,520.694,533.187,545.202,556.745,567.818,578.427,588.574,598.263,607.421,616.056,624.171,631.773,638.865,645.45,651.531,657.106,662.172,666.717,670.643,673.893,676.404,678.269,679.709,680.865,681.807,682.578,683.203,683.699,684.066,684.314,684.451,684.481,684.41,684.237,683.965,683.592,683.117,682.536,681.83,680.989,679.995,678.82,677.415,675.673,673.308,669.992,665.872,661.061,655.541,649.336,642.458,634.909,626.686,617.786,608.205,597.938,586.979,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.315,575.314,575.315,575.318,575.32,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.321,575.322,575.322,575.322,575.322,575.322,575.322,575.322,575.322
b40dc1817,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.589746,0.569687,0.551943,0.536072,0.521743,0.508706,0.496763,0.485759,0.475568,0.466081,0.457218,0.44891,0.441097,0.433728,0.42676,0.420155,0.413881,0.407909,0.402213,0.396773,0.391575,0.386601,0.381836,0.377263,0.372869,0.368642,0.36457,0.360645,0.356854,0.353178,0.349603,0.34612,0.342732,0.339445,0.336263,0.333183,0.330201,0.327314,0.324516,0.321801,0.319166,0.316605,0.314117,0.311696,0.30934,0.307046,0.30481,0.302631,0.300505,0.298429,0.296401,0.294421,0.292483,0.290585,0.288723,0.286889,0.285073,0.283279,0.281509,0.279762,0.278038,0.276334,0.274652,0.272991,0.271351,0.269731,0.268132,0.266553,0.264993,0.263674,0.262375,0.261097,0.259839,0.2586,0.257379,0.256177,0.254992,0.253824,0.252673,0.251539,0.250423,0.249323,0.248239,0.247172,0.246119,0.245082,0.244059,0.24305,0.242056,0.241076,0.24011,0.239157,0.238219,0.237293,0.23638,0.235481,0.234593,0.233717,0.232852,0.232,0.23116,0.230331,0.229514,0.228708,0.227913,0.227128,0.226353,0.225588,0.224834,0.224089,0.223355,0.22263,0.221915,0.22121,0.220514,0.219827,0.219149,0.218478,0.217817
b40dc1817,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,44.1188,44.7294,45.2962,45.8124,46.2761,46.6878,47.0499,47.3655,47.6381,47.8715,47.8516,48.0412,48.2943,48.5479,48.8024,49.0581,49.3152,49.5739,49.8343,50.0964,50.3257,50.5564,50.7886,51.0225,51.2579,51.495,51.7337,51.9739,52.2157,52.459,52.5726,52.6874,52.8035,52.9208,53.0393,53.1589,53.2793,53.4003,53.5214,53.6417,53.9008,54.1517,54.3937,54.648,54.9327,55.2369,55.5514,55.8721,56.1968,56.5242,56.8883,57.2536,57.6197,57.9865,58.3536,58.7209,59.0883,59.4557,59.8227,60.1893,60.5437,60.8962,61.2463,61.593,61.9341,62.2637,62.5633,62.8279,63.1062,63.3957,63.8028,64.2119,64.6215,65.0311,65.4404,65.8492,66.2577,66.6657,67.0734,67.4808,69.0506,69.5436,70.035,70.5248,71.0131,71.5,71.9857,72.4702,72.9535,73.4358,73.8205,74.2053,74.5899,74.9745,75.3589,75.7431,76.1271,76.5108,76.8942,77.2773,77.5638,77.8509,78.1384,78.4262,78.7143,79.0025,79.2907,79.579,79.8672,80.1551,80.3474,80.5403,80.7338,80.9275,81.1215,81.3158,81.5104,81.705,81.8997,82.0944,82.1932,82.2928,82.3929,82.4936,82.5946,82.6959,82.7974,82.8991,83.0008,83.1026
b40dc1817,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b40dc1817,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,18.3645,17.8329,17.3178,16.8164,16.3264,15.8464,15.3748,14.9107,14.4533,13.9548,13.4621,12.975,12.4929,12.0155,11.5425,11.0736,10.6085,10.147,9.68856,9.15873,8.63452,8.11559,7.60158,7.09178,6.58527,6.08053,5.57524,5.06572,4.54583,3.92607,3.24968,2.51086,1.86466,1.44054,1.15562,0.942648,0.7708,0.624811,0.496248,0.366859,0.24802,0.136688,0.0306175,-0.0719414,-0.172455,-0.272268,-0.372701,-0.475149,-0.581262,-0.70575,-0.84134,-0.994069,-1.17463,-1.40496,-1.74169,-2.36528,-3.3156,-4.12074,-4.81088,-5.52023,-6.20404,-6.87808,-7.54984,-8.22302,-8.89972,-9.58088,-10.2672,-10.9591,-11.657,-1.84207e-05,-1.13412e-06,-1.20428e-06,-1.28488e-06,-1.39263e-06,-1.48742e-06,-1.61761e-06,-1.73338e-06,-1.89686e-06,-1.4804e-05,-3.47085e-06,-3.67748e-06,-4.00589e-06,-4.24613e-06,-4.5411e-06,-4.88201e-06,-5.12173e-06,-5.45742e-06,-6.3673e-06,-0.000163703,-3.44395e-05,-2.79483e-05,-2.34572e-05,-1.48546e-05,-4.08608e-06,4.92014e-06,1.5928e-05,-3.97547e-06,-0.00054949,-0.00535104,-0.00130915,0.0014313,0.00266507,0.00225708,0.000781267,0.000160717,6.77686e-05,4.13167e-05,2.74673e-05,-6.52095e-05,4.9386e-05,3.06031e-05,2.02259e-05,1.42484e-05,1.05306e-05,8.11034e-06,6.36878e-06,5.14195e-06,4.21135e-06,2.9195e-05
b40dc1817,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),4.31972e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.562403,0.578785,0.582297,0.586204,0.590403,0.594818,0.599389,0.604073,0.608834,0.613645,0.619652,0.625646,0.63161,0.637533,0.643404,0.649216,0.654963,0.660644,0.666256,0.6718,0.678736,0.685592,0.69237,0.699073,0.705715,0.712315,0.718911,0.72556,0.732362,0.739476,0.749664,0.761279,0.774457,0.784934,0.789223,0.789723,0.788343,0.785961,0.783007,0.779717,0.776568,0.773255,0.769859,0.766435,0.763026,0.759664,0.756377,0.753192,0.750137,0.747244,0.744842,0.742749,0.74109,0.740084,0.74019,0.742603,0.751174,0.766699,0.778928,0.788528,0.798193,0.807126,0.815671,0.823995,0.832182,0.840277,0.848303,0.856275,0.864202,0.872092,0.64399,0.640818,0.637696,0.634624,0.631596,0.628616,0.625679,0.622785,0.619933,0.617122,0.614353,0.611626,0.608939,0.606293,0.603685,0.601114,0.598581,0.596082,0.593619,0.591192,0.588797,0.586437,0.584111,0.581819,0.579559,0.577329,0.575132,0.572963,0.570831,0.568785,0.566648,0.564559,0.562519,0.560528,0.558579,0.556645,0.554729,0.552838,0.550971,0.54913,0.547309,0.545515,0.543746,0.542,0.540277,0.538578,0.536899,0.535242,0.533605,0.53199
