ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b4a77a44e,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,26.9489,26.5826,26.2085,25.6786,25.1439,24.6024,24.0527,23.4932,22.9231,22.3412,21.7467,21.1387,20.5165,19.8319,19.1318,18.4155,17.6823,16.9316,16.1627,15.3748,14.5673,13.7389,12.8888,11.9362,10.9645,9.97276,8.95961,7.92214,6.85298,5.72853,4.4528,2.30358,1.39692,1.04471,0.814924,0.637534,0.489367,0.359651,0.24244,0.133987,0.0317544,-0.0661514,-0.161236,-0.26006,-0.358564,-0.458175,-0.560519,-0.667612,-0.782225,-0.908609,-1.05417,-1.23443,-2.02895,-4.22894,-6.42892,-8.62884,-10.3299,-12.0583,-13.8488,-15.7061,-17.6351,-19.641,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.9201e-06,-1.26522e-07,-1.29864e-07,-1.33921e-07,-1.38827e-07,-1.43014e-07,-1.48192e-07,-1.52624e-07,-1.58009e-07,-4.49337e-07,-1.69083e-07,-1.71957e-07,-1.76124e-07,-1.78991e-07,-1.82492e-07,-1.86395e-07,-1.89324e-07,-1.93222e-07,-1.96314e-07,-6.60421e-07,-2.01122e-07,-2.00631e-07,-2.00398e-07,-1.98807e-07,-1.96882e-07,-1.96504e-07,-1.91907e-07,-1.89314e-07,-1.85843e-07,-8.34151e-07,-1.63991e-07,-1.51735e-07,-1.39243e-07,-1.27306e-07,-1.12605e-07,-9.72182e-08,-8.12799e-08,-6.44025e-08,-4.73679e-08,-7.45784e-07,2.60173e-08,5.04999e-08,7.54028e-08,9.86534e-08,1.21189e-07,1.4545e-07,1.65651e-07,1.87162e-07,2.05624e-07,9.59635e-06
b4a77a44e,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26344,1.27992,1.29617,1.31209,1.32768,1.34293,1.35784,1.37241,1.38662,1.40047,1.41395,1.42706,1.43978,1.45208,1.46394,1.47536,1.48632,1.49682,1.50684,1.51637,1.5254,1.53392,1.54191,1.54931,1.55611,1.56229,1.56785,1.57276,1.57701,1.58056,1.58332,1.58475,1.58561,1.58626,1.58677,1.58716,1.58747,1.58769,1.58784,1.58792,1.58794,1.5879,1.5878,1.58764,1.58742,1.58713,1.58679,1.58637,1.58589,1.58532,1.58467,1.5839,1.58265,1.58002,1.57604,1.57069,1.56428,1.55681,1.54822,1.53848,1.52755,1.51537,1.50297,1.49057,1.47817,1.46577,1.45337,1.44097,1.42857,1.41617,1.40377,1.39137,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897,1.37897
b4a77a44e,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),0.709155,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0167083,0.0164812,0.0162493,0.0159207,0.0155892,0.0152535,0.0149127,0.0145658,0.0142123,0.0138515,0.013483,0.013106,0.0127203,0.0122958,0.0118617,0.0114176,0.010963,0.0104976,0.0100209,0.00953238,0.0090317,0.0085181,0.00799107,0.00740043,0.00679798,0.00618311,0.00555496,0.00491173,0.00424885,0.00355169,0.00276074,0.00142822,0.000866088,0.00064772,0.000505253,0.000395271,0.000303408,0.000222984,0.000150313,8.30719e-05,1.96877e-05,-4.10138e-05,-9.99662e-05,-0.000161237,-0.000222309,-0.000284068,-0.000347522,-0.000413919,-0.000484979,-0.000563337,-0.000653584,-0.000765346,-0.00125795,-0.00262194,-0.00398593,-0.00534988,-0.00640456,-0.00747612,-0.00858623,-0.00973776,-0.0109337,-0.0121774,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-1.81046e-09,-7.84438e-11,-8.05153e-11,-8.30313e-11,-8.60725e-11,-8.86684e-11,-9.18794e-11,-9.4627e-11,-9.79655e-11,-2.78589e-10,-1.04831e-10,-1.06614e-10,-1.09197e-10,-1.10974e-10,-1.13145e-10,-1.15565e-10,-1.17381e-10,-1.19798e-10,-1.21715e-10,-4.09461e-10,-1.24696e-10,-1.24391e-10,-1.24247e-10,-1.2326e-10,-1.22067e-10,-1.21833e-10,-1.18982e-10,-1.17375e-10,-1.15223e-10,-5.17174e-10,-1.01674e-10,-9.40758e-11,-8.6331e-11,-7.89295e-11,-6.98153e-11,-6.02752e-11,-5.03937e-11,-3.99294e-11,-2.93682e-11,-4.62386e-10,1.61307e-11,3.131e-11,4.67498e-11,6.1165e-11,7.5137e-11,9.0179e-11,1.02703e-10,1.16041e-10,1.27487e-10,5.94974e-09
b4a77a44e,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,0.999994,0.999978,0.999918,0.999671,0.998406,0.97826,0.939876,0.914027,0.893248,0.875179,0.858886,0.843872,0.829838,0.816576,0.803937,0.791802,0.780073,0.768029,0.756256,0.744667,0.733165,0.721641,0.709956,0.69791,0.685184,0.671157,0.6299,0.602101,0.600138,0.600009,0.600001,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.800001
b4a77a44e,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),-4.99995e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,269.695,296.278,322.487,348.165,373.309,397.911,421.964,445.457,468.38,490.722,512.468,533.607,554.124,573.956,593.087,611.503,629.185,646.117,662.279,677.654,692.222,705.96,718.849,730.785,741.75,751.723,760.682,768.604,775.457,781.186,785.639,787.942,789.339,790.384,791.199,791.836,792.326,792.685,792.928,793.062,793.094,793.027,792.866,792.606,792.248,791.789,791.229,790.561,789.779,788.87,787.816,786.582,784.553,780.324,773.895,765.266,754.936,742.878,729.029,713.323,695.688,676.047,656.047,636.047,616.047,596.047,576.047,556.047,536.047,516.047,496.047,476.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047,456.047
b4a77a44e,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.702485,0.673233,0.647769,0.625259,0.605224,0.587204,0.570852,0.555902,0.542146,0.529417,0.51758,0.506525,0.496161,0.486402,0.47719,0.46847,0.460195,0.452324,0.444821,0.437656,0.430799,0.424227,0.417918,0.411853,0.406022,0.400408,0.394998,0.389777,0.384732,0.379848,0.375104,0.370425,0.365913,0.361594,0.357456,0.353489,0.349683,0.346025,0.342509,0.339123,0.33586,0.332712,0.329671,0.326731,0.323885,0.321127,0.318452,0.315855,0.313333,0.31088,0.308493,0.306168,0.303881,0.301584,0.299282,0.29698,0.294696,0.292428,0.290178,0.287946,0.285731,0.283531,0.281389,0.279308,0.277285,0.275315,0.273397,0.271528,0.269705,0.267928,0.266193,0.2645,0.262845,0.261573,0.260319,0.259085,0.25787,0.256672,0.255492,0.254328,0.253181,0.252049,0.250934,0.249834,0.248751,0.247683,0.246632,0.245594,0.244571,0.243563,0.242568,0.241586,0.240618,0.239664,0.238723,0.237795,0.23688,0.235978,0.235087,0.234209,0.233342,0.232487,0.231643,0.23081,0.229989,0.229179,0.22838,0.227591,0.226813,0.226045,0.225287,0.224538,0.223799,0.22307,0.22235,0.22164,0.220939,0.220247,0.219565,0.218891,0.218225,0.217568,0.216919
b4a77a44e,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),43.478,44.1243,44.7105,45.2029,45.5848,45.8518,46.007,46.0579,46.3183,46.7688,47.2104,47.4097,47.6034,47.7921,47.976,48.1554,48.3304,48.5012,48.6677,48.8299,48.9876,49.1052,49.2175,49.3246,49.4263,49.5223,49.6124,49.6964,49.7741,49.845,49.9087,49.8417,49.7679,49.6868,49.598,49.5007,49.3925,49.2658,49.0899,48.6305,48.5594,48.8044,49.0915,49.3983,49.717,50.0441,50.3774,50.7156,51.0576,51.4026,51.7501,52.1342,52.5191,52.9042,53.2892,53.6733,54.0557,54.4354,54.8104,55.1767,55.3903,55.2396,55.0658,54.871,54.7951,54.7029,54.585,54.4402,54.2668,54.0633,54.3315,54.8167,55.3073,55.8028,56.3029,56.8071,57.3151,57.8264,58.3407,58.8578,59.3772,64.2177,64.8224,65.4179,66.005,66.5843,67.1564,67.7218,68.281,68.8344,69.3825,69.8312,70.2759,70.7167,71.154,71.588,72.0188,72.4467,72.8719,73.2944,73.7144,74.0378,74.3597,74.6801,74.999,75.3166,75.6327,75.9476,76.2612,76.5736,76.8847,77.1004,77.3157,77.5305,77.7448,77.9586,78.1717,78.3843,78.5962,78.8076,79.0183,79.1342,79.2501,79.366,79.4818,79.5974,79.7128,79.828,79.9429,80.0574,80.1716
b4a77a44e,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b4a77a44e,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,26.9489,26.5826,26.2085,25.6786,25.1439,24.6024,24.0527,23.4932,22.9231,22.3412,21.7467,21.1387,20.5165,19.8319,19.1318,18.4155,17.6823,16.9316,16.1627,15.3748,14.5673,13.7389,12.8888,11.9362,10.9645,9.97276,8.95961,7.92214,6.85298,5.72853,4.4528,2.30358,1.39692,1.04471,0.814924,0.637534,0.489367,0.359651,0.24244,0.133987,0.0317544,-0.0661514,-0.161236,-0.26006,-0.358564,-0.458175,-0.560519,-0.667612,-0.782225,-0.908609,-1.05417,-1.23443,-2.02895,-4.22894,-6.42892,-8.62884,-10.3299,-12.0583,-13.8488,-15.7061,-17.6351,-19.641,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.9201e-06,-1.26522e-07,-1.29864e-07,-1.33921e-07,-1.38827e-07,-1.43014e-07,-1.48192e-07,-1.52624e-07,-1.58009e-07,-4.49337e-07,-1.69083e-07,-1.71957e-07,-1.76124e-07,-1.78991e-07,-1.82492e-07,-1.86395e-07,-1.89324e-07,-1.93222e-07,-1.96314e-07,-6.60421e-07,-2.01122e-07,-2.00631e-07,-2.00398e-07,-1.98807e-07,-1.96882e-07,-1.96504e-07,-1.91907e-07,-1.89314e-07,-1.85843e-07,-8.34151e-07,-1.63991e-07,-1.51735e-07,-1.39243e-07,-1.27306e-07,-1.12605e-07,-9.72182e-08,-8.12799e-08,-6.44025e-08,-4.73679e-08,-7.45784e-07,2.60173e-08,5.04999e-08,7.54028e-08,9.86534e-08,1.21189e-07,1.4545e-07,1.65651e-07,1.87162e-07,2.05624e-07,9.59635e-06
b4a77a44e,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.015,0.00267,0.6,0.62 delta_degC/(TtCO2),5.1959e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.822076,0.839837,0.859003,0.880323,0.902766,0.926233,0.950654,0.975978,1.00217,1.02921,1.05708,1.08578,1.11531,1.14799,1.18156,1.21604,1.25145,1.28782,1.32516,1.36352,1.40291,1.44342,1.48508,1.53134,1.57895,1.62799,1.67855,1.73083,1.78538,1.84387,1.91327,2.04671,2.08909,2.09081,2.08394,2.07381,2.06217,2.04981,2.03716,2.02445,2.01185,1.99946,1.98735,1.97591,1.96484,1.95422,1.9441,1.93459,1.92583,1.91802,1.91158,1.90734,1.93876,2.05225,2.16646,2.28126,2.36552,2.45121,2.54051,2.63377,2.73134,2.83361,2.82894,2.79931,2.77051,2.74251,2.71525,2.68871,2.66286,2.63768,2.61312,2.58917,2.56579,1.56851,1.561,1.5536,1.54631,1.53912,1.53205,1.52507,1.51819,1.5114,1.50472,1.49812,1.49163,1.48522,1.47892,1.4727,1.46656,1.46051,1.45455,1.44866,1.44286,1.43714,1.43149,1.42593,1.42044,1.41503,1.40969,1.40443,1.39923,1.3941,1.38904,1.38404,1.37912,1.37426,1.36947,1.36474,1.36008,1.35547,1.35092,1.34643,1.342,1.33763,1.33331,1.32906,1.32485,1.3207,1.31661,1.31257,1.30858,1.30464,1.30075
