ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
b6a91b8b9,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.8321,20.2389,19.6578,19.0861,18.5222,17.9639,17.4114,16.8625,16.3172,15.7747,15.1864,14.6004,14.0165,13.4344,12.8539,12.2749,11.6972,11.1206,10.5447,9.96946,9.31741,8.66848,8.02212,7.37738,6.73232,6.08335,5.42332,4.73758,3.99344,3.11383,2.04493,1.48127,1.17114,0.955244,0.786424,0.645603,0.523146,0.413563,0.313357,0.220157,0.123901,0.032244,-0.0560792,-0.142132,-0.226842,-0.31107,-0.395687,-0.481619,-0.569907,-0.661848,-0.76807,-0.883723,-1.0136,-1.16629,-1.36007,-1.64898,-2.5114,-4.30217,-5.27264,-6.12128,-7.00865,-7.8893,-8.77621,-9.6748,-10.5876,-11.516,-12.4611,-13.4237,-14.4046,-15.405,-0.223721,-0.258059,-0.290797,-0.32194,-0.351492,-0.379411,-0.405679,-0.430233,-0.45303,-0.47399,-0.483763,-0.491541,-0.497312,-0.501032,-0.502692,-0.502273,-0.499747,-0.495112,-0.48835,-0.47946,-0.459733,-0.438082,-0.414554,-0.389179,-0.361997,-0.33304,-0.302301,-0.269815,-0.235573,-0.199558,-0.153811,-0.106231,-0.0567401,-0.00523236,0.0484418,0.104438,0.162945,0.224188,0.288429,0.355978,0.437405,0.52439,0.617966,0.719457,0.830644,0.953965,1.09276,1.25197,1.43882,1.66367
b6a91b8b9,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30368,1.31623,1.32842,1.34025,1.35174,1.36287,1.37367,1.38412,1.39424,1.40402,1.41344,1.42249,1.43118,1.43951,1.44748,1.45509,1.46234,1.46924,1.47577,1.48195,1.48773,1.49311,1.49808,1.50265,1.50683,1.5106,1.51396,1.5169,1.51938,1.52131,1.52257,1.52349,1.52422,1.52481,1.5253,1.5257,1.52602,1.52628,1.52647,1.52661,1.52669,1.52671,1.52667,1.52658,1.52644,1.52625,1.526,1.52571,1.52535,1.52494,1.52447,1.52392,1.52329,1.52257,1.52172,1.5207,1.51914,1.51648,1.51321,1.50941,1.50507,1.50018,1.49473,1.48874,1.48217,1.47503,1.46731,1.45898,1.45005,1.4405,1.44036,1.4402,1.44002,1.43982,1.4396,1.43937,1.43912,1.43885,1.43857,1.43828,1.43798,1.43767,1.43736,1.43705,1.43674,1.43643,1.43612,1.43581,1.43551,1.43521,1.43493,1.43466,1.4344,1.43416,1.43393,1.43373,1.43354,1.43337,1.43323,1.4331,1.43301,1.43294,1.43291,1.4329,1.43293,1.433,1.4331,1.43324,1.43342,1.43364,1.43391,1.43423,1.43462,1.43506,1.43558,1.43617,1.43685,1.43762,1.43852,1.43955
b6a91b8b9,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),0.667093,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133165,0.0129159,0.0125481,0.0121878,0.0118334,0.0114838,0.0111376,0.0107951,0.0104548,0.0101167,0.00978031,0.00941559,0.00905227,0.00869022,0.00832932,0.00796944,0.00761045,0.00725227,0.00689475,0.00653773,0.00618106,0.00577679,0.00537446,0.00497371,0.00457398,0.00417404,0.00377168,0.00336246,0.0029373,0.00247593,0.00193058,0.00126786,0.000918387,0.000726107,0.000592251,0.000487583,0.000400274,0.00032435,0.000256409,0.000194281,0.000136498,7.68188e-05,1.99913e-05,-3.47691e-05,-8.8122e-05,-0.000140642,-0.000192863,-0.000245326,-0.000298604,-0.000353343,-0.000410346,-0.000476204,-0.000547908,-0.000628429,-0.000723097,-0.000843241,-0.00102237,-0.00155707,-0.00266735,-0.00326904,-0.00379519,-0.00434536,-0.00489137,-0.00544125,-0.00599838,-0.00656429,-0.00713994,-0.00772586,-0.00832268,-0.00893088,-0.00955111,-0.000138707,-0.000159996,-0.000180294,-0.000199603,-0.000217925,-0.000235235,-0.000251521,-0.000266744,-0.000280879,-0.000293874,-0.000299933,-0.000304755,-0.000308334,-0.00031064,-0.000311669,-0.000311409,-0.000309843,-0.00030697,-0.000302777,-0.000297265,-0.000285034,-0.000271611,-0.000257023,-0.000241291,-0.000224438,-0.000206485,-0.000187426,-0.000167285,-0.000146055,-0.000123726,-9.53628e-05,-6.5863e-05,-3.51789e-05,-3.24406e-06,3.00339e-05,6.47517e-05,0.000101026,0.000138997,0.000178826,0.000220707,0.000271191,0.000325122,0.000383139,0.000446063,0.000515,0.000591458,0.000677509,0.000776223,0.000892069,0.00103148
b6a91b8b9,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999999,0.999997,0.999994,0.999986,0.999968,0.999929,0.999841,0.99964,0.999159,0.997894,0.993817,0.977982,0.95877,0.943102,0.929727,0.917844,0.907027,0.897015,0.88764,0.878781,0.870348,0.8615,0.852998,0.844787,0.836816,0.829042,0.821424,0.813922,0.806495,0.7991,0.791685,0.78352,0.775157,0.766455,0.757176,0.746872,0.734376,0.712758,0.701439,0.700434,0.700152,0.70005,0.700017,0.700006,0.700002,0.700001,0.7,0.7,0.7,0.7,0.7,0.829326,0.826203,0.823245,0.820451,0.817819,0.815352,0.813048,0.810911,0.808942,0.807146,0.806312,0.805651,0.805162,0.804847,0.804707,0.804742,0.804956,0.805348,0.805922,0.806679,0.808366,0.810232,0.812274,0.814493,0.816888,0.81946,0.822211,0.825139,0.828246,0.831535,0.835739,0.840135,0.844725,0.849513,0.854504,0.859699,0.865103,0.870716,0.876542,0.882579,0.88971,0.89712,0.904815,0.912799,0.921075,0.929642,0.938485,0.94758,0.956862,0.966175
b6a91b8b9,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),-4.99995e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,334.613,354.852,374.51,393.596,412.118,430.082,447.493,464.356,480.673,496.448,511.634,526.235,540.251,553.685,566.539,578.814,590.512,601.632,612.177,622.146,631.464,640.132,648.154,655.532,662.264,668.347,673.771,678.508,682.502,685.616,687.66,689.142,690.313,691.268,692.055,692.7,693.223,693.637,693.95,694.17,694.294,694.327,694.27,694.128,693.901,693.59,693.195,692.713,692.143,691.481,690.713,689.83,688.816,687.65,686.29,684.641,682.129,677.827,672.554,666.433,659.424,651.535,642.759,633.084,622.497,610.981,598.52,585.096,570.691,555.286,555.062,554.804,554.514,554.192,553.84,553.461,553.055,552.625,552.172,551.698,551.214,550.723,550.225,549.724,549.222,548.719,548.219,547.724,547.236,546.757,546.297,545.859,545.444,545.055,544.693,544.36,544.058,543.788,543.552,543.353,543.199,543.093,543.036,543.031,543.079,543.184,543.347,543.571,543.859,544.215,544.653,545.177,545.795,546.514,547.345,548.299,549.392,550.644,552.083,553.746
b6a91b8b9,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613969,0.592055,0.572724,0.555473,0.539927,0.525803,0.51288,0.500985,0.489979,0.479747,0.47019,0.461235,0.452816,0.44488,0.437377,0.430268,0.423516,0.417092,0.410966,0.405116,0.399519,0.394166,0.389036,0.384115,0.379388,0.37484,0.37046,0.366233,0.362148,0.358185,0.354321,0.350581,0.346972,0.343493,0.340137,0.336899,0.333771,0.330749,0.327825,0.324995,0.322252,0.31959,0.317007,0.314498,0.312058,0.309685,0.307374,0.305124,0.302932,0.300794,0.298707,0.29667,0.294681,0.292736,0.290832,0.288965,0.287121,0.285273,0.283444,0.281639,0.279853,0.278088,0.276341,0.274613,0.272903,0.271212,0.269539,0.267884,0.266247,0.264627,0.263312,0.262016,0.260741,0.259485,0.258248,0.257029,0.255827,0.254643,0.253475,0.252324,0.251191,0.250074,0.248974,0.24789,0.246823,0.24577,0.244733,0.24371,0.242702,0.241708,0.240729,0.239764,0.238813,0.237876,0.236952,0.236042,0.235145,0.234259,0.233386,0.232525,0.231677,0.230841,0.230017,0.229204,0.228403,0.227614,0.226835,0.226067,0.225309,0.224562,0.223825,0.223099,0.222383,0.221678,0.220982,0.220298,0.219622,0.218956,0.2183,0.217653
b6a91b8b9,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),43.478,44.0853,44.6617,45.1938,45.6751,46.1039,46.4813,46.8098,47.0929,47.3344,47.5382,47.7513,47.9685,48.1846,48.4,48.6153,48.8307,49.0468,49.2637,49.4815,49.7006,49.8865,50.0736,50.2619,50.4516,50.6428,50.8356,51.0301,51.2262,51.424,51.6236,51.6956,51.7695,51.8452,51.9227,52.0018,52.082,52.1625,52.2412,52.3135,52.3687,52.5472,52.7973,53.0845,53.3862,53.6956,54.0099,54.3277,54.6482,54.9708,55.295,55.655,56.0157,56.3768,56.7383,57.1001,57.462,57.824,58.186,58.5478,58.9094,59.2594,59.608,59.9547,60.2988,60.6385,60.9684,61.2407,61.4166,61.6749,61.946,62.331,62.7168,63.1024,63.4874,63.8715,64.2549,64.6376,65.0194,65.4005,65.7808,67.7099,68.2001,68.6881,69.1743,69.6588,70.1416,70.623,71.1031,71.5819,72.0596,72.442,72.8243,73.2065,73.5885,73.9704,74.352,74.7334,75.1145,75.4954,75.8759,76.1622,76.449,76.7362,77.0237,77.3114,77.5992,77.887,78.1749,78.4627,78.7503,78.944,79.1383,79.3331,79.5282,79.7237,79.9193,80.115,80.3108,80.5066,80.7023,80.8044,80.9072,81.0107,81.1147,81.2193,81.3245,81.4302,81.5367,81.6442,81.7531
b6a91b8b9,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
b6a91b8b9,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.8321,20.2389,19.6578,19.0861,18.5222,17.9639,17.4114,16.8625,16.3172,15.7747,15.1864,14.6004,14.0165,13.4344,12.8539,12.2749,11.6972,11.1206,10.5447,9.96946,9.31741,8.66848,8.02212,7.37738,6.73232,6.08335,5.42332,4.73758,3.99344,3.11383,2.04493,1.48127,1.17114,0.955244,0.786424,0.645603,0.523146,0.413563,0.313357,0.220157,0.123901,0.032244,-0.0560792,-0.142132,-0.226842,-0.31107,-0.395687,-0.481619,-0.569907,-0.661848,-0.76807,-0.883723,-1.0136,-1.16629,-1.36007,-1.64898,-2.5114,-4.30217,-5.27264,-6.12128,-7.00865,-7.8893,-8.77621,-9.6748,-10.5876,-11.516,-12.4611,-13.4237,-14.4046,-15.405,-0.223721,-0.258059,-0.290797,-0.32194,-0.351492,-0.379411,-0.405679,-0.430233,-0.45303,-0.47399,-0.483763,-0.491541,-0.497312,-0.501032,-0.502692,-0.502273,-0.499747,-0.495112,-0.48835,-0.47946,-0.459733,-0.438082,-0.414554,-0.389179,-0.361997,-0.33304,-0.302301,-0.269815,-0.235573,-0.199558,-0.153811,-0.106231,-0.0567401,-0.00523236,0.0484418,0.104438,0.162945,0.224188,0.288429,0.355978,0.437405,0.52439,0.617966,0.719457,0.830644,0.953965,1.09276,1.25197,1.43882,1.66367
b6a91b8b9,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.7,0.62 delta_degC/(TtCO2),4.31907e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.50765,0.514565,0.521836,0.529372,0.5371,0.544988,0.552957,0.561011,0.569108,0.57723,0.586515,0.59579,0.605042,0.614259,0.623431,0.632553,0.641619,0.650627,0.659574,0.668463,0.678827,0.689145,0.699426,0.709691,0.71999,0.73042,0.741176,0.75267,0.765825,0.782827,0.805383,0.813269,0.813897,0.811955,0.808831,0.805093,0.801014,0.796753,0.792404,0.788026,0.783876,0.779742,0.775652,0.771629,0.76769,0.763851,0.760127,0.756534,0.75309,0.749818,0.746957,0.744378,0.742181,0.740539,0.739834,0.741207,0.754959,0.788868,0.804656,0.817607,0.830974,0.843972,0.856883,0.869827,0.882861,0.896013,0.909305,0.922755,0.936378,0.950193,0.647055,0.644448,0.641849,0.63926,0.636677,0.634103,0.631535,0.628974,0.626417,0.623866,0.621182,0.618507,0.615839,0.61318,0.610528,0.607882,0.605243,0.602609,0.599982,0.597361,0.594629,0.59191,0.589203,0.58651,0.58383,0.581162,0.57851,0.57587,0.573241,0.570626,0.567919,0.565226,0.562544,0.559871,0.557208,0.554549,0.551893,0.549236,0.546576,0.543909,0.541093,0.538244,0.535348,0.532388,0.529345,0.52619,0.522881,0.519364,0.515552,0.511329
