ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
c6ad8bfab,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,31.1365,30.9058,30.6626,30.4041,30.1283,29.6683,29.1952,28.7077,28.2045,27.6846,27.1472,26.5911,26.0156,25.4196,24.8021,24.1157,23.4059,22.6718,21.9124,21.1265,20.3131,19.4708,18.5984,17.6944,16.7571,15.6972,14.6054,13.48,12.3192,11.1211,9.88333,8.60254,7.27176,5.86723,4.13737,1.93742,1.09115,0.73846,0.485743,0.277723,0.0931571,-0.0792861,-0.247309,-0.417733,-0.598478,-0.811514,-1.07879,-2.82095,-5.02093,-7.22091,-9.42089,-11.6209,-13.8209,-16.0208,-18.2208,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.22168e-05,-1.40153e-06,-1.47631e-06,-1.55594e-06,-1.64477e-06,-1.73283e-06,-1.83186e-06,-1.93011e-06,-2.04028e-06,-4.34601e-06,-2.28123e-06,-2.38357e-06,-2.50085e-06,-2.61286e-06,-2.7348e-06,-2.8653e-06,-2.99316e-06,-3.13487e-06,-3.27721e-06,-7.71456e-06,-3.5828e-06,-3.70049e-06,-3.82631e-06,-3.94245e-06,-4.05795e-06,-4.19166e-06,-4.28384e-06,-4.39758e-06,-4.50791e-06,-1.2167e-05,-4.59759e-06,-4.57526e-06,-4.54585e-06,-4.51044e-06,-4.42574e-06,-4.31407e-06,-4.17468e-06,-3.99976e-06,-3.80862e-06,-1.40051e-05,-2.80626e-06,-2.36885e-06,-1.90241e-06,-1.42559e-06,-9.26064e-07,-3.66666e-07,1.56574e-07,7.26981e-07,1.39816e-06,0.000173167
c6ad8bfab,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22985,1.24901,1.26802,1.28687,1.30555,1.32395,1.34205,1.35985,1.37733,1.3945,1.41133,1.42782,1.44395,1.45971,1.47508,1.49004,1.50455,1.5186,1.53219,1.54529,1.55788,1.56995,1.58148,1.59245,1.60284,1.61258,1.62163,1.62999,1.63763,1.64452,1.65065,1.65598,1.66049,1.66413,1.6667,1.6679,1.66857,1.66903,1.66933,1.6695,1.66956,1.66951,1.66936,1.6691,1.66873,1.66823,1.66756,1.66581,1.6627,1.65822,1.65238,1.64517,1.6366,1.62667,1.61537,1.60297,1.59057,1.57817,1.56577,1.55337,1.54097,1.52857,1.51617,1.50377,1.49137,1.47897,1.46657,1.45417,1.44177,1.42937,1.41697,1.40457,1.39217,1.37977,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737,1.36737
c6ad8bfab,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),0.705201,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0193046,0.0191616,0.0190108,0.0188506,0.0186795,0.0183944,0.018101,0.0177988,0.0174868,0.0171645,0.0168313,0.0164865,0.0161297,0.0157601,0.0153773,0.0149517,0.0145117,0.0140565,0.0135857,0.0130984,0.0125941,0.0120719,0.011531,0.0109705,0.0103894,0.00973229,0.00905534,0.00835757,0.00763791,0.00689509,0.00612766,0.00533357,0.00450849,0.00363768,0.00256517,0.0012012,0.000676515,0.000457845,0.00030116,0.000172188,5.77574e-05,-4.91574e-05,-0.000153332,-0.000258994,-0.000371057,-0.000503138,-0.000668847,-0.00174899,-0.00311298,-0.00447697,-0.00584095,-0.00720494,-0.00856893,-0.00993292,-0.0112969,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-1.37744e-08,-8.68947e-10,-9.15311e-10,-9.64682e-10,-1.01976e-09,-1.07435e-09,-1.13576e-09,-1.19667e-09,-1.26497e-09,-2.69453e-09,-1.41436e-09,-1.47781e-09,-1.55053e-09,-1.61997e-09,-1.69557e-09,-1.77648e-09,-1.85576e-09,-1.94362e-09,-2.03187e-09,-4.78302e-09,-2.22134e-09,-2.29431e-09,-2.37231e-09,-2.44432e-09,-2.51593e-09,-2.59883e-09,-2.65598e-09,-2.7265e-09,-2.7949e-09,-7.54357e-09,-2.8505e-09,-2.83666e-09,-2.81842e-09,-2.79647e-09,-2.74396e-09,-2.67472e-09,-2.5883e-09,-2.47985e-09,-2.36135e-09,-8.68314e-09,-1.73988e-09,-1.46868e-09,-1.17949e-09,-8.83864e-10,-5.7416e-10,-2.27333e-10,9.70756e-11,4.50728e-10,8.6686e-10,1.07364e-07
c6ad8bfab,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999993,0.999964,0.999792,0.998236,0.975103,0.938387,0.914249,0.893856,0.875576,0.858654,0.842632,0.827179,0.811997,0.796763,0.780313,0.762367,0.708811,0.700592,0.700039,0.700003,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.849998,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.849999,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.849999,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.849999,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.850016
c6ad8bfab,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),-4.99993e-09,41.278,80.3561,117.234,151.912,184.39,215.527,246.432,277.095,307.499,337.627,367.296,396.491,425.199,453.403,481.088,508.235,534.826,560.842,586.261,611.063,635.179,658.585,681.257,703.169,724.296,744.609,764.08,782.678,800.373,817.13,832.827,847.432,860.912,873.231,884.353,894.236,902.838,910.11,915.977,920.115,922.052,923.143,923.882,924.368,924.645,924.738,924.659,924.412,923.994,923.396,922.584,921.505,918.684,913.663,906.443,897.022,885.401,871.58,855.559,837.338,817.338,797.338,777.338,757.338,737.338,717.338,697.338,677.338,657.338,637.338,617.338,597.338,577.338,557.338,537.338,517.338,497.338,477.338,457.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338,437.338
c6ad8bfab,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.777982,0.743545,0.713714,0.68746,0.664054,0.64293,0.623822,0.606395,0.590394,0.575611,0.561884,0.549079,0.537085,0.52581,0.515176,0.505107,0.495554,0.48647,0.477813,0.469544,0.461633,0.45405,0.44677,0.43977,0.433029,0.426527,0.42026,0.414209,0.408362,0.402705,0.397225,0.391911,0.386752,0.381737,0.376832,0.371992,0.367326,0.362861,0.358589,0.354497,0.350576,0.34681,0.343191,0.339708,0.336352,0.333111,0.329975,0.326868,0.323774,0.320695,0.317639,0.314607,0.311604,0.308633,0.305696,0.302809,0.300029,0.297351,0.294767,0.29227,0.289857,0.287522,0.28526,0.283068,0.280941,0.278875,0.276865,0.274909,0.273003,0.271146,0.269335,0.267569,0.265844,0.26416,0.262515,0.26125,0.260004,0.258776,0.257567,0.256375,0.255201,0.254043,0.252902,0.251776,0.250666,0.249572,0.248494,0.247431,0.246384,0.245351,0.244332,0.243328,0.242338,0.24136,0.240396,0.239446,0.238509,0.237584,0.236673,0.235774,0.234887,0.234013,0.233149,0.232297,0.231456,0.230626,0.229808,0.229001,0.228204,0.227418,0.226643,0.225877,0.225121,0.224375,0.223639,0.222912,0.222194,0.221486,0.220788,0.220098,0.219418,0.218746,0.218082,0.217426,0.216779
c6ad8bfab,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),43.478,44.0908,44.6429,45.1007,45.4483,45.6815,45.9755,46.4528,46.9183,47.3726,47.8161,48.0087,48.1937,48.3715,48.5426,48.7071,48.8653,49.0171,49.1627,49.302,49.4348,49.5263,49.6106,49.6876,49.7571,49.8188,49.8723,49.9174,49.9535,49.9801,49.9968,49.8785,49.7503,49.6116,49.4619,49.3003,49.1262,48.9382,48.7342,48.5067,48.1792,47.832,47.8953,48.1152,48.3704,48.6438,48.9284,49.2206,49.5178,49.8177,50.1178,50.4474,50.7644,50.6818,50.4596,50.2206,49.967,49.701,49.4247,49.1396,48.8476,48.6841,49.0766,49.4762,49.8822,50.2942,50.7116,51.134,51.5607,51.9915,52.4257,52.9685,53.5142,54.0624,54.6129,55.1654,55.7196,56.2754,56.8324,57.3906,57.9497,62.7052,63.329,63.9414,64.5434,65.1358,65.7193,66.2946,66.8622,67.4228,67.9769,68.4323,68.8826,69.3282,69.7693,70.2062,70.6392,71.0686,71.4947,71.9175,72.3373,72.6617,72.9841,73.3046,73.6232,73.9401,74.2552,74.5687,74.8807,75.1912,75.5002,75.7152,75.9296,76.1433,76.3563,76.5686,76.7801,76.9909,77.201,77.4103,77.6189,77.7341,77.8493,77.9644,78.0794,78.194,78.3084,78.4225,78.5362,78.6495,78.7624
c6ad8bfab,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
c6ad8bfab,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,31.1365,30.9058,30.6626,30.4041,30.1283,29.6683,29.1952,28.7077,28.2045,27.6846,27.1472,26.5911,26.0156,25.4196,24.8021,24.1157,23.4059,22.6718,21.9124,21.1265,20.3131,19.4708,18.5984,17.6944,16.7571,15.6972,14.6054,13.48,12.3192,11.1211,9.88333,8.60254,7.27176,5.86723,4.13737,1.93742,1.09115,0.73846,0.485743,0.277723,0.0931571,-0.0792861,-0.247309,-0.417733,-0.598478,-0.811514,-1.07879,-2.82095,-5.02093,-7.22091,-9.42089,-11.6209,-13.8209,-16.0208,-18.2208,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.22168e-05,-1.40153e-06,-1.47631e-06,-1.55594e-06,-1.64477e-06,-1.73283e-06,-1.83186e-06,-1.93011e-06,-2.04028e-06,-4.34601e-06,-2.28123e-06,-2.38357e-06,-2.50085e-06,-2.61286e-06,-2.7348e-06,-2.8653e-06,-2.99316e-06,-3.13487e-06,-3.27721e-06,-7.71456e-06,-3.5828e-06,-3.70049e-06,-3.82631e-06,-3.94245e-06,-4.05795e-06,-4.19166e-06,-4.28384e-06,-4.39758e-06,-4.50791e-06,-1.2167e-05,-4.59759e-06,-4.57526e-06,-4.54585e-06,-4.51044e-06,-4.42574e-06,-4.31407e-06,-4.17468e-06,-3.99976e-06,-3.80862e-06,-1.40051e-05,-2.80626e-06,-2.36885e-06,-1.90241e-06,-1.42559e-06,-9.26064e-07,-3.66666e-07,1.56574e-07,7.26981e-07,1.39816e-06,0.000173167
c6ad8bfab,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.03,0.0155092,0.7,0.62 delta_degC/(TtCO2),6.18165e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.534826,0.551652,0.569664,0.588758,0.60887,0.630712,0.653546,0.677356,0.702138,0.727896,0.75464,0.782389,0.811167,0.841004,0.871936,0.905862,0.941042,0.977526,1.01537,1.05463,1.09539,1.13771,1.18168,1.2274,1.27497,1.32759,1.38245,1.43967,1.49942,1.56185,1.62717,1.69565,1.76782,1.84545,1.94681,2.08396,2.12094,2.12138,2.11496,2.10585,2.09564,2.08514,2.07487,2.06526,2.05678,2.05079,2.04861,2.14265,2.26706,2.39184,2.51682,2.64188,2.76687,2.89169,3.01623,3.11,3.07388,3.03902,3.00534,2.97277,2.94123,2.91069,2.88107,2.85234,2.82444,2.79497,2.76633,2.73846,2.71134,2.68494,2.65921,2.63414,2.60969,2.58584,2.56257,1.56658,1.5591,1.55174,1.54449,1.53734,1.5303,1.52336,1.51652,1.50976,1.50311,1.49655,1.49008,1.48371,1.47743,1.47124,1.46513,1.45911,1.45317,1.44731,1.44153,1.43583,1.43021,1.42467,1.4192,1.41381,1.40849,1.40325,1.39807,1.39296,1.38791,1.38294,1.37803,1.37319,1.36842,1.3637,1.35905,1.35446,1.34993,1.34546,1.34104,1.33668,1.33238,1.32814,1.32395,1.31981,1.31573,1.3117,1.30772,1.30379,1.2999
