ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
d30265d41,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,-0.521736,-2.72172,-4.92171,-6.98631,-7.50339,-7.98112,-8.42092,-8.82388,-9.19099,-9.52307,-9.82082,-10.131,-10.4056,-10.6449,-10.8493,-11.0191,-11.1548,-11.2565,-11.3244,-11.3587,-11.3596,-11.4601,-11.5258,-11.5561,-11.5501,-11.5072,-11.4265,-11.3073,-11.1485,-10.9494,-10.7089,-10.5038,-10.2534,-9.95625,-9.61048,-9.21426,-8.76551,-8.26206,-7.70152,-7.08115,-6.3981,-5.70906,-4.94923,-4.1142,-3.19929,-2.19912,-1.10762,-0.000139507,-1.29914e-07,-1.17506e-07,2.22791e-07,-1.22613e-07,-1.11496e-07,-1.02352e-07,-9.42352e-08,-8.59491e-08,-7.9341e-08,-7.21852e-08,-6.63936e-08,-6.03681e-08,-5.55699e-08,-5.01895e-08,-4.60963e-08,-4.18156e-08,-3.73685e-08,-3.41566e-08,-3.00635e-08,-2.72191e-08,-2.3543e-08,-2.08805e-08,-2.54932e-07,-5.84634e-10,2.46639e-09,4.65023e-09,7.6532e-09,1.02502e-08,1.26481e-08,1.55858e-08,1.8054e-08,2.09747e-08,-1.62085e-07,3.43395e-08,3.78214e-08,4.13264e-08,4.53934e-08,4.96935e-08,5.36859e-08,5.91557e-08,6.42499e-08,6.99031e-08,-9.53743e-08,8.57067e-08,9.38305e-08,1.02692e-07,1.12205e-07,1.23316e-07,1.35731e-07,1.49646e-07,1.65447e-07,1.83297e-07,6.9412e-09,2.2242e-07,3.80245e-05,3.48721,8.20923,13.3521,19.0449,25.4838,32.996,42.2085,54.707
d30265d41,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32253,1.33039,1.33689,1.34202,1.34579,1.3482,1.34924,1.34891,1.34723,1.34417,1.33984,1.33519,1.33024,1.32502,1.31955,1.31385,1.30795,1.30186,1.29558,1.28913,1.28253,1.2758,1.26897,1.26205,1.25507,1.24805,1.24101,1.23397,1.22686,1.21972,1.21255,1.20539,1.19825,1.19117,1.18416,1.17725,1.17046,1.16382,1.15731,1.15095,1.14478,1.13882,1.13311,1.12767,1.12255,1.11777,1.11338,1.10942,1.10588,1.10281,1.10026,1.09827,1.09691,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09839,1.10348,1.11175,1.12356,1.13936,1.15982,1.18599,1.21991
d30265d41,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.00922447,0.00786048,0.00649648,0.00513249,0.0037685,0.00240451,0.00104052,-0.000323476,-0.00168747,-0.00305146,-0.00433151,-0.0046521,-0.0049483,-0.00522097,-0.0054708,-0.00569841,-0.0059043,-0.00608891,-0.00628124,-0.00645145,-0.00659982,-0.00672654,-0.00683187,-0.00691597,-0.00697902,-0.00702114,-0.00704242,-0.00704298,-0.00710525,-0.00714598,-0.00716476,-0.00716104,-0.00713447,-0.00708443,-0.00701051,-0.00691209,-0.00678863,-0.00663951,-0.00651233,-0.00635714,-0.00617287,-0.0059585,-0.00571284,-0.00543461,-0.00512248,-0.00477494,-0.00439031,-0.00396682,-0.00353962,-0.00306852,-0.00255081,-0.00198356,-0.00136346,-0.000686727,-8.64943e-08,-8.05467e-11,-7.28535e-11,1.3813e-10,-7.60201e-11,-6.91276e-11,-6.34579e-11,-5.84259e-11,-5.32885e-11,-4.91913e-11,-4.47549e-11,-4.1164e-11,-3.74283e-11,-3.44533e-11,-3.11176e-11,-2.85796e-11,-2.59257e-11,-2.31686e-11,-2.11771e-11,-1.86393e-11,-1.68758e-11,-1.45968e-11,-1.29459e-11,-1.58058e-10,-3.62599e-13,1.52922e-12,2.88325e-12,4.74487e-12,6.35514e-12,7.84173e-12,9.66338e-12,1.11935e-11,1.30043e-11,-1.00493e-10,2.12905e-11,2.34492e-11,2.56224e-11,2.81437e-11,3.081e-11,3.32854e-11,3.66764e-11,3.9835e-11,4.33398e-11,-5.9132e-11,5.31382e-11,5.8175e-11,6.36686e-11,6.95672e-11,7.64562e-11,8.41529e-11,9.27809e-11,1.02577e-10,1.13644e-10,4.30367e-12,1.379e-10,2.35752e-08,0.00216207,0.00508972,0.0082783,0.0118078,0.0158,0.0204575,0.0261693,0.0339183
d30265d41,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d30265d41,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),-5.00136e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.406,408.085,407.563,404.841,399.919,392.933,385.43,377.449,369.028,360.204,351.013,341.49,331.669,321.538,311.132,300.487,289.638,278.619,267.464,256.208,244.883,233.525,222.165,210.705,199.179,187.623,176.073,164.566,153.139,141.832,130.684,119.734,109.025,98.5215,88.268,78.3118,68.7013,59.487,50.7215,42.4595,34.7579,27.6768,21.2787,15.5696,10.6204,6.50619,3.30689,1.10777,0.000149217,9.71055e-06,9.58063e-06,9.46313e-06,9.68592e-06,9.56331e-06,9.45181e-06,9.34946e-06,9.25522e-06,9.16927e-06,9.08993e-06,9.01775e-06,8.95135e-06,8.89099e-06,8.83542e-06,8.78523e-06,8.73913e-06,8.69732e-06,8.65995e-06,8.62579e-06,8.59573e-06,8.56851e-06,8.54496e-06,8.52408e-06,8.26915e-06,8.26857e-06,8.27103e-06,8.27568e-06,8.28334e-06,8.29359e-06,8.30624e-06,8.32182e-06,8.33987e-06,8.36085e-06,8.19876e-06,8.2331e-06,8.27093e-06,8.31225e-06,8.35764e-06,8.40734e-06,8.46102e-06,8.52018e-06,8.58443e-06,8.65433e-06,8.55896e-06,8.64467e-06,8.7385e-06,8.84119e-06,8.95339e-06,9.07671e-06,9.21244e-06,9.36209e-06,9.52753e-06,9.71083e-06,9.71777e-06,9.94019e-06,4.79647e-05,3.48726,11.6965,25.0486,44.0935,69.5773,102.573,144.782,199.489
d30265d41,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483809,0.470736,0.458565,0.447202,0.43657,0.426617,0.417492,0.409081,0.401293,0.394053,0.387297,0.380971,0.375032,0.369443,0.364176,0.359202,0.354494,0.35003,0.34579,0.341756,0.337912,0.334246,0.330743,0.327383,0.324153,0.321046,0.318056,0.315176,0.3124,0.309722,0.307139,0.304646,0.302238,0.299909,0.297656,0.295474,0.293363,0.291318,0.289339,0.287423,0.285567,0.283771,0.282032,0.280348,0.278718,0.277141,0.275616,0.274142,0.272718,0.271343,0.269991,0.268663,0.267357,0.266071,0.264805,0.263557,0.262326,0.261113,0.259916,0.258737,0.257574,0.256426,0.255294,0.254177,0.253074,0.251986,0.250912,0.249851,0.248805,0.247771,0.24675,0.245741,0.244745,0.243761,0.242791,0.241832,0.240887,0.239953,0.239031,0.23812,0.237221,0.236332,0.235455,0.234588,0.233733,0.232889,0.232055,0.231232,0.230418,0.229616,0.228822,0.228038,0.227264,0.226499,0.225745,0.224999,0.224263,0.223536,0.222818,0.222108,0.221407,0.220715,0.220031,0.219354,0.218687,0.218054,0.217464,0.216919,0.216423,0.215976,0.215589,0.215269,0.215041
d30265d41,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,44.0772,44.6578,45.215,45.7468,46.253,46.7346,47.1931,47.6305,48.0487,48.4498,48.5979,48.7354,48.8637,48.9843,49.0985,49.2074,49.312,49.4135,49.5126,49.6102,49.6787,49.747,49.8324,50.1099,50.3955,50.6888,50.9895,51.2972,51.6115,51.9321,52.1287,52.3303,52.5365,52.7472,52.9621,53.1809,53.4033,53.6291,53.858,54.0898,54.4712,54.8549,55.2411,55.6296,56.0204,56.4134,56.8084,57.2054,57.6042,58.0046,58.4381,58.8727,59.3084,59.7452,60.1828,60.6213,61.0604,61.5,61.9399,62.3799,62.804,63.2274,63.65,64.0714,64.4914,64.9098,65.3233,65.692,66.0589,66.4241,66.9137,67.4015,67.8876,68.3723,68.8555,69.3375,69.8184,70.2982,70.7771,71.2552,71.7325,72.209,72.685,73.1603,73.635,74.1093,74.5831,75.0565,75.5294,76.002,76.3757,76.7502,77.1253,77.5008,77.8768,78.2531,78.6297,79.0064,79.3833,79.7603,80.0392,80.3192,80.6,80.8815,81.1635,81.4461,81.729,82.0122,82.2957,82.5793,82.7652,82.9522,83.1399,83.3284,83.5175,83.707,83.8969,84.0871,84.2775,84.4681,84.5612,84.6553,84.8212,84.9939,85.1494,85.2845,85.395,85.4748,85.5144,85.4962
d30265d41,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
d30265d41,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,-0.521736,-2.72172,-4.92171,-6.98631,-7.50339,-7.98112,-8.42092,-8.82388,-9.19099,-9.52307,-9.82082,-10.131,-10.4056,-10.6449,-10.8493,-11.0191,-11.1548,-11.2565,-11.3244,-11.3587,-11.3596,-11.4601,-11.5258,-11.5561,-11.5501,-11.5072,-11.4265,-11.3073,-11.1485,-10.9494,-10.7089,-10.5038,-10.2534,-9.95625,-9.61048,-9.21426,-8.76551,-8.26206,-7.70152,-7.08115,-6.3981,-5.70906,-4.94923,-4.1142,-3.19929,-2.19912,-1.10762,-0.000139507,-1.29914e-07,-1.17506e-07,2.22791e-07,-1.22613e-07,-1.11496e-07,-1.02352e-07,-9.42352e-08,-8.59491e-08,-7.9341e-08,-7.21852e-08,-6.63936e-08,-6.03681e-08,-5.55699e-08,-5.01895e-08,-4.60963e-08,-4.18156e-08,-3.73685e-08,-3.41566e-08,-3.00635e-08,-2.72191e-08,-2.3543e-08,-2.08805e-08,-2.54932e-07,-5.84634e-10,2.46639e-09,4.65023e-09,7.6532e-09,1.02502e-08,1.26481e-08,1.55858e-08,1.8054e-08,2.09747e-08,-1.62085e-07,3.43395e-08,3.78214e-08,4.13264e-08,4.53934e-08,4.96935e-08,5.36859e-08,5.91557e-08,6.42499e-08,6.99031e-08,-9.53743e-08,8.57067e-08,9.38305e-08,1.02692e-07,1.12205e-07,1.23316e-07,1.35731e-07,1.49646e-07,1.65447e-07,1.83297e-07,6.9412e-09,2.2242e-07,3.80245e-05,3.48721,8.20923,13.3521,19.0449,25.4838,32.996,42.2085,54.707
d30265d41,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.001,0.0240686,1,0.62 delta_degC/(TtCO2),4.47059e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.319925,0.345236,0.370588,0.395949,0.421291,0.446589,0.471857,0.497097,0.519999,0.516846,0.513567,0.510143,0.506563,0.502815,0.498893,0.494795,0.491589,0.488161,0.484508,0.480629,0.476522,0.472191,0.467636,0.462859,0.457865,0.452655,0.448528,0.444123,0.439441,0.434485,0.429256,0.423758,0.417993,0.411963,0.405672,0.399122,0.393103,0.386785,0.380169,0.373254,0.36604,0.358527,0.350714,0.342601,0.334185,0.325464,0.316988,0.308159,0.298972,0.289419,0.279493,0.269185,0.259123,0.257831,0.256562,0.255315,0.254087,0.252878,0.251686,0.250511,0.249352,0.24821,0.247084,0.245973,0.244877,0.243796,0.242729,0.241676,0.240637,0.239611,0.238598,0.237599,0.236611,0.235636,0.234673,0.233722,0.232782,0.231856,0.23094,0.230037,0.229146,0.228265,0.227396,0.226536,0.225688,0.22485,0.224023,0.223206,0.222399,0.221603,0.220817,0.220041,0.219274,0.218516,0.217768,0.217028,0.216298,0.215577,0.214866,0.214162,0.213468,0.212782,0.212105,0.211435,0.210774,0.210121,0.209475,0.208837,0.191652,0.169874,0.147816,0.125345,0.102306,0.0785131,0.0537392,0.0276971
