ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
df3840099,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,0.0725264,-0.0770081,-0.216164,-0.349007,-0.478716,-0.608117,-0.740093,-0.878017,-1.02645,-1.19241,-1.3883,-1.68122,-2.15706,-2.95161,-3.69537,-4.28594,-4.78905,-5.23663,-5.64346,-6.01705,-6.36161,-6.79512,-7.20391,-7.58898,-7.95054,-8.28872,-8.60311,-8.89351,-9.1594,-9.40037,-9.61596,-9.88368,-10.125,-10.339,-10.5249,-10.6817,-10.8086,-10.9045,-10.9686,-10.9997,-10.9969,-11.0233,-11.013,-10.9643,-10.8757,-10.7455,-10.572,-10.3531,-10.0868,-9.77074,-9.40237,-9.05158,-8.63973,-8.16254,-7.61434,-6.98682,-6.26504,-5.41163,-4.27185,-1.79882,-1.3524,-1.09976,-0.9061,-0.740522,-0.590159,-0.447956,-0.309153,-0.169911,-0.0264984,-2.68224e-06,-3.22802e-07,1.22769e-07,1.3001e-07,1.35805e-07,1.43043e-07,1.49649e-07,1.55976e-07,1.63308e-07,1.69897e-07,1.77343e-07,-1.56319e-07,2.08204e-07,2.17218e-07,2.26426e-07,2.36851e-07,2.47924e-07,2.58659e-07,2.72429e-07,2.85795e-07,3.00546e-07,-2.31927e-08,3.41685e-07,3.62893e-07,3.86192e-07,4.11539e-07,4.40974e-07,4.74091e-07,5.11505e-07,5.54273e-07,6.03048e-07,2.32988e-07,7.17434e-07,5.42325e-05,0.489101,2.82164,8.53775,14.3167,20.9231,28.7223,38.4124,51.7569
df3840099,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32253,1.33039,1.33689,1.34202,1.34579,1.3482,1.34924,1.34928,1.34923,1.3491,1.34888,1.34859,1.34821,1.34775,1.34721,1.34657,1.34583,1.34497,1.34393,1.34259,1.34076,1.33847,1.33581,1.33284,1.3296,1.3261,1.32237,1.31842,1.31421,1.30974,1.30504,1.30011,1.29497,1.28964,1.28412,1.27844,1.27261,1.26665,1.26052,1.25425,1.24784,1.24131,1.23469,1.22799,1.22123,1.21443,1.20761,1.20079,1.19395,1.18713,1.18033,1.17358,1.16692,1.16037,1.15395,1.1477,1.14164,1.13581,1.1302,1.12484,1.11978,1.11506,1.11073,1.10684,1.10349,1.10084,1.09972,1.09888,1.0982,1.09764,1.09718,1.09682,1.09654,1.09635,1.09624,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09653,1.09828,1.10357,1.11245,1.12542,1.14323,1.16704,1.19913
df3840099,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),0.19035,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.00922447,0.00786048,0.00649648,0.00513249,0.0037685,0.00240451,0.00104052,4.49664e-05,-4.7745e-05,-0.000134022,-0.000216385,-0.000296804,-0.000377033,-0.000458857,-0.00054437,-0.000636402,-0.000739296,-0.000860744,-0.00104236,-0.00133738,-0.00183,-0.00229113,-0.00265728,-0.00296921,-0.00324671,-0.00349895,-0.00373057,-0.0039442,-0.00421297,-0.00446642,-0.00470517,-0.00492934,-0.00513901,-0.00533393,-0.00551398,-0.00567883,-0.00582823,-0.00596189,-0.00612788,-0.0062775,-0.00641019,-0.00652543,-0.00662267,-0.00670131,-0.0067608,-0.00680054,-0.00681984,-0.00681809,-0.00683447,-0.00682805,-0.00679784,-0.00674291,-0.00666221,-0.00655465,-0.00641891,-0.0062538,-0.00605786,-0.00582947,-0.00561198,-0.00535663,-0.00506077,-0.00472089,-0.00433183,-0.00388432,-0.00335521,-0.00264854,-0.00111527,-0.000838489,-0.000681852,-0.000561782,-0.000459124,-0.000365899,-0.000277733,-0.000191675,-0.000105345,-1.6429e-05,-1.66299e-09,-2.00138e-10,7.61171e-11,8.0606e-11,8.41995e-11,8.86866e-11,9.27824e-11,9.67049e-11,1.01251e-10,1.05336e-10,1.09953e-10,-9.6918e-11,1.29087e-10,1.34675e-10,1.40384e-10,1.46848e-10,1.53713e-10,1.60368e-10,1.68906e-10,1.77193e-10,1.86338e-10,-1.43794e-11,2.11845e-10,2.24994e-10,2.39439e-10,2.55154e-10,2.73404e-10,2.93937e-10,3.17133e-10,3.43649e-10,3.7389e-10,1.44453e-10,4.44809e-10,3.36241e-08,0.000303242,0.00174942,0.0052934,0.00887634,0.0129723,0.0178078,0.0238157,0.0320893
df3840099,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999993,0.999893,0.998382,0.977809,0.904494,0.895229,0.886677,0.878693,0.871161,0.863987,0.857085,0.850371,0.843756,0.837128,0.830336,0.822118,0.812896,0.805017,0.802026,0.800979,0.800526,0.800302,0.800183,0.800115,0.800075,0.800044,0.800026,0.800016,0.80001,0.800007,0.800005,0.800003,0.800002,0.800002,0.800001,0.800001,0.800001,0.800001,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.800001,0.800001,0.800001,0.800002,0.800003,0.800004,0.800008,0.800016,0.800035,0.800085,0.800243,0.800996,0.819408,0.831499,0.840728,0.84907,0.857063,0.86496,0.872919,0.881064,0.889504,0.898357,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.900003,0.929428,0.994131,0.999995,1,1,1,1,1
df3840099,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),-4.99996e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.693,388.172,396.45,402.528,406.406,408.085,408.157,408.08,407.864,407.515,407.036,406.428,405.688,404.81,403.784,402.591,401.203,399.522,397.365,394.413,390.718,386.432,381.643,376.406,370.763,364.745,358.384,351.589,344.385,336.796,328.845,320.557,311.953,303.06,293.901,284.5,274.884,265.001,254.876,244.537,234.012,223.33,212.521,201.617,190.648,179.648,168.652,157.628,146.615,135.651,124.775,114.03,103.458,93.1047,83.0179,73.2472,63.8448,54.7932,46.1535,37.991,30.3766,23.3898,17.1248,11.7131,7.4413,5.64248,4.29008,3.19032,2.28421,1.54369,0.953534,0.505578,0.196425,0.0265138,1.53595e-05,1.26772e-05,1.23544e-05,1.24772e-05,1.26072e-05,1.2743e-05,1.28861e-05,1.30357e-05,1.31917e-05,1.3355e-05,1.35249e-05,1.37022e-05,1.35459e-05,1.37541e-05,1.39713e-05,1.41978e-05,1.44346e-05,1.46825e-05,1.49412e-05,1.52136e-05,1.54994e-05,1.58e-05,1.57768e-05,1.61185e-05,1.64814e-05,1.68675e-05,1.72791e-05,1.77201e-05,1.81942e-05,1.87057e-05,1.92599e-05,1.9863e-05,2.0096e-05,2.08134e-05,7.50459e-05,0.489176,3.31082,11.8486,26.1652,47.0883,75.8107,114.223,165.98
df3840099,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.529633,0.513118,0.497894,0.483809,0.470736,0.458693,0.447828,0.437953,0.428917,0.420598,0.412899,0.405741,0.399057,0.392792,0.386899,0.381335,0.376067,0.371058,0.36626,0.361662,0.357259,0.353043,0.349003,0.345128,0.341409,0.337835,0.334388,0.331058,0.327837,0.324722,0.321705,0.318785,0.315954,0.31321,0.310549,0.307967,0.305458,0.303018,0.300644,0.298335,0.296088,0.293901,0.291772,0.289699,0.28768,0.285714,0.283798,0.281929,0.280108,0.278334,0.276603,0.274916,0.273273,0.271671,0.270109,0.268588,0.267104,0.265655,0.264241,0.262861,0.261516,0.260205,0.25893,0.257694,0.256516,0.25536,0.254225,0.253108,0.252008,0.250926,0.249858,0.248807,0.247771,0.24675,0.245741,0.244745,0.243761,0.242791,0.241832,0.240887,0.239953,0.239031,0.23812,0.237221,0.236332,0.235455,0.234588,0.233733,0.232889,0.232055,0.231232,0.230418,0.229616,0.228822,0.228038,0.227264,0.226499,0.225745,0.224999,0.224263,0.223536,0.222818,0.222108,0.221407,0.220715,0.220031,0.219354,0.218687,0.218031,0.217401,0.216821,0.21629,0.215812,0.215395,0.215049,0.214801
df3840099,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),43.478,44.0654,44.6339,45.1788,45.6983,46.1922,46.6616,47.1081,47.5339,47.9408,48.3309,48.4694,48.5979,48.718,48.8312,48.9387,49.0419,49.1417,49.2393,49.3356,49.4977,49.794,50.0918,50.391,50.6913,50.9927,51.295,51.5979,51.9011,52.204,52.5056,52.6735,52.8275,52.9572,53.0926,53.242,53.4,53.5638,53.7323,53.9047,54.0806,54.4078,54.7376,55.07,55.4049,55.7423,56.0824,56.425,56.7702,57.118,57.4684,57.8523,58.2384,58.6266,59.017,59.4096,59.8044,60.2014,60.6005,61.0018,61.4052,61.7947,62.1858,62.5784,62.9725,63.3681,63.7652,64.1636,64.5634,64.9645,65.3667,65.8913,66.4168,66.9433,67.4707,67.999,68.5284,69.0599,69.5982,70.1762,70.6802,71.1758,71.6678,72.1572,72.6447,73.1306,73.615,74.0981,74.58,75.0576,75.5335,75.9108,76.2883,76.6661,77.044,77.4221,77.8001,78.1781,78.5561,78.934,79.3117,79.5918,79.8726,80.1541,80.4362,80.7187,81.0015,81.2845,81.5678,81.8512,82.1346,82.3208,82.5079,82.6957,82.8842,83.0731,83.2625,83.4522,83.6421,83.8322,84.0224,84.1156,84.2097,84.3148,84.4549,84.6426,84.797,84.9248,85.0184,85.0657,85.0439
df3840099,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
df3840099,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,10.4782,8.27821,6.07823,3.87824,1.67825,0.0725264,-0.0770081,-0.216164,-0.349007,-0.478716,-0.608117,-0.740093,-0.878017,-1.02645,-1.19241,-1.3883,-1.68122,-2.15706,-2.95161,-3.69537,-4.28594,-4.78905,-5.23663,-5.64346,-6.01705,-6.36161,-6.79512,-7.20391,-7.58898,-7.95054,-8.28872,-8.60311,-8.89351,-9.1594,-9.40037,-9.61596,-9.88368,-10.125,-10.339,-10.5249,-10.6817,-10.8086,-10.9045,-10.9686,-10.9997,-10.9969,-11.0233,-11.013,-10.9643,-10.8757,-10.7455,-10.572,-10.3531,-10.0868,-9.77074,-9.40237,-9.05158,-8.63973,-8.16254,-7.61434,-6.98682,-6.26504,-5.41163,-4.27185,-1.79882,-1.3524,-1.09976,-0.9061,-0.740522,-0.590159,-0.447956,-0.309153,-0.169911,-0.0264984,-2.68224e-06,-3.22802e-07,1.22769e-07,1.3001e-07,1.35805e-07,1.43043e-07,1.49649e-07,1.55976e-07,1.63308e-07,1.69897e-07,1.77343e-07,-1.56319e-07,2.08204e-07,2.17218e-07,2.26426e-07,2.36851e-07,2.47924e-07,2.58659e-07,2.72429e-07,2.85795e-07,3.00546e-07,-2.31927e-08,3.41685e-07,3.62893e-07,3.86192e-07,4.11539e-07,4.40974e-07,4.74091e-07,5.11505e-07,5.54273e-07,6.03048e-07,2.32988e-07,7.17434e-07,5.42325e-05,0.489101,2.82164,8.53775,14.3167,20.9231,28.7223,38.4124,51.7569
df3840099,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.015,0.0283483,0.8,0.62 delta_degC/(TtCO2),6.7837e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.319925,0.345236,0.370588,0.395949,0.421291,0.436834,0.428897,0.421613,0.414926,0.408788,0.403159,0.398011,0.393333,0.389136,0.385466,0.382443,0.380956,0.38201,0.387276,0.391907,0.394592,0.396207,0.39718,0.397707,0.397891,0.397788,0.398612,0.399149,0.399418,0.399431,0.399193,0.398709,0.397982,0.397014,0.395806,0.394362,0.393483,0.392346,0.39095,0.389295,0.387381,0.385207,0.382773,0.380079,0.377125,0.373911,0.371094,0.367993,0.364603,0.360922,0.356947,0.352674,0.348099,0.343219,0.338027,0.332519,0.327159,0.321439,0.315348,0.308864,0.30195,0.294523,0.286344,0.276345,0.257351,0.253043,0.250149,0.247711,0.245506,0.243443,0.241471,0.239557,0.237674,0.2358,0.234673,0.233722,0.232782,0.231856,0.23094,0.230037,0.229146,0.228265,0.227396,0.226536,0.225688,0.22485,0.224023,0.223206,0.222399,0.221603,0.220817,0.220041,0.219274,0.218516,0.217768,0.217028,0.216298,0.215577,0.214866,0.214162,0.213468,0.212782,0.212105,0.211435,0.210774,0.210121,0.209475,0.208837,0.205844,0.194194,0.167982,0.143561,0.118168,0.0915317,0.0633112,0.0330458
