ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
e429befba,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.5811,20.0673,19.5672,19.0778,18.5967,18.1224,17.6532,17.1883,16.7265,16.2672,15.7619,15.2583,14.7562,14.2551,13.7548,13.2548,12.7549,12.2548,11.7542,11.2526,10.6746,10.0984,9.5239,8.95084,8.37878,7.80722,7.23528,6.66159,6.08386,5.49789,4.81371,4.08049,3.24925,2.30841,1.62723,1.24244,0.98324,0.784239,0.619295,0.475727,0.333849,0.203376,0.0804711,-0.0377053,-0.153442,-0.268797,-0.385857,-0.506973,-0.635095,-0.774418,-0.946338,-1.15533,-1.43983,-1.94195,-3.17642,-4.32188,-5.24406,-6.09932,-6.93438,-7.76706,-8.69129,-9.62945,-10.5838,-11.5553,-12.5448,-13.5531,-14.5807,-15.6288,-16.6979,-17.7894,-1.79999e-06,-7.19959e-08,-7.40684e-08,-7.57668e-08,-7.8473e-08,-8.00506e-08,-8.285e-08,-8.44283e-08,-8.71547e-08,-5.1006e-07,-1.01677e-07,-1.00278e-07,-1.00744e-07,-9.86638e-08,-9.73202e-08,-9.63282e-08,-9.33264e-08,-9.16395e-08,-8.82392e-08,-9.18415e-07,-8.32551e-08,-7.08073e-08,-5.89217e-08,-4.44702e-08,-2.98349e-08,-1.88235e-08,-6.34593e-10,1.26087e-08,2.61941e-08,-1.126e-06,1.17711e-07,1.41271e-07,1.60379e-07,1.73959e-07,1.877e-07,1.97991e-07,2.04974e-07,2.09519e-07,2.11115e-07,-5.40269e-07,3.02564e-07,2.93509e-07,2.83068e-07,2.70151e-07,2.56461e-07,2.44093e-07,2.29516e-07,2.166e-07,2.02728e-07,2.73285e-06
e429befba,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30353,1.31597,1.3281,1.33993,1.35146,1.3627,1.37364,1.3843,1.39467,1.40475,1.41453,1.42399,1.43314,1.44197,1.4505,1.45872,1.46663,1.47423,1.48151,1.48849,1.49511,1.50137,1.50727,1.51282,1.51802,1.52286,1.52734,1.53147,1.53525,1.53866,1.54164,1.54417,1.54618,1.54762,1.54862,1.54939,1.55,1.55049,1.55087,1.55117,1.55138,1.5515,1.55155,1.55153,1.55143,1.55127,1.55103,1.55071,1.55032,1.54984,1.54925,1.54854,1.54764,1.54644,1.54447,1.54179,1.53854,1.53476,1.53046,1.52564,1.52025,1.51428,1.50772,1.50056,1.49278,1.48438,1.47534,1.46565,1.45529,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427,1.44427
e429befba,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),0.680265,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0127603,0.0124417,0.0121317,0.0118282,0.01153,0.0112359,0.010945,0.0106567,0.0103704,0.0100857,0.00977238,0.00946018,0.00914885,0.00883818,0.00852795,0.00821796,0.00790805,0.007598,0.00728759,0.00697664,0.00661824,0.00626102,0.00590482,0.00554952,0.00519484,0.00484048,0.00448587,0.00413019,0.003772,0.00340869,0.0029845,0.00252991,0.00201453,0.00143122,0.00100888,0.000770312,0.000609609,0.000486228,0.000383963,0.000294951,0.000206987,0.000126093,4.98921e-05,-2.33773e-05,-9.51343e-05,-0.000166654,-0.000239232,-0.000314323,-0.000393759,-0.000480139,-0.000586729,-0.000716304,-0.000892692,-0.00120401,-0.00196938,-0.00267957,-0.00325132,-0.00378158,-0.00429932,-0.00481558,-0.0053886,-0.00597026,-0.00656193,-0.00716429,-0.00777778,-0.00840292,-0.00904006,-0.00968983,-0.0103527,-0.0110294,-1.11599e-09,-4.46374e-11,-4.59225e-11,-4.69754e-11,-4.86532e-11,-4.96314e-11,-5.1367e-11,-5.23456e-11,-5.40359e-11,-3.16237e-10,-6.30402e-11,-6.21721e-11,-6.24614e-11,-6.11714e-11,-6.03387e-11,-5.97235e-11,-5.78624e-11,-5.68164e-11,-5.47083e-11,-5.69417e-10,-5.16182e-11,-4.39005e-11,-3.65316e-11,-2.75713e-11,-1.84978e-11,-1.16706e-11,-3.93459e-13,7.81729e-12,1.62405e-11,-6.9812e-10,7.29813e-11,8.75876e-11,9.94352e-11,1.07854e-10,1.16374e-10,1.22754e-10,1.27084e-10,1.29902e-10,1.30891e-10,-3.34967e-10,1.8759e-10,1.81975e-10,1.75502e-10,1.67494e-10,1.59006e-10,1.51338e-10,1.423e-10,1.34292e-10,1.25692e-10,1.69437e-09
e429befba,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999999,0.999997,0.999994,0.999988,0.999975,0.999948,0.999894,0.999781,0.99949,0.998739,0.996504,0.989192,0.97653,0.964711,0.954385,0.945122,0.936614,0.928669,0.920408,0.912543,0.904985,0.897663,0.890515,0.883487,0.876523,0.869563,0.86254,0.855365,0.847246,0.838539,0.828728,0.816513,0.80382,0.800937,0.800299,0.800104,0.800037,0.800013,0.800004,0.800001,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
e429befba,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),-4.99996e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,334.362,354.429,373.996,393.074,411.671,429.793,447.447,464.635,481.361,497.629,513.39,528.649,543.405,557.66,571.415,584.67,597.425,609.679,621.434,632.686,643.361,653.459,662.983,671.934,680.313,688.12,695.355,702.017,708.101,713.599,718.412,722.493,725.742,728.05,729.678,730.92,731.903,732.688,733.307,733.783,734.117,734.32,734.4,734.363,734.209,733.94,733.555,733.048,732.412,731.638,730.692,729.536,728.097,726.155,722.978,718.656,713.412,707.313,700.379,692.612,683.92,674.291,663.707,652.152,639.607,626.054,611.473,595.844,579.146,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357,561.357
e429befba,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613769,0.591768,0.572425,0.555208,0.539727,0.525688,0.512863,0.501074,0.490179,0.48006,0.470614,0.46177,0.453461,0.44563,0.438231,0.43122,0.424565,0.418231,0.412194,0.406427,0.400911,0.395633,0.390576,0.385725,0.381065,0.376581,0.372263,0.3681,0.364081,0.360198,0.35643,0.352762,0.349185,0.345689,0.342285,0.338989,0.335799,0.332714,0.329727,0.326836,0.324033,0.321313,0.318674,0.316109,0.313616,0.311192,0.308832,0.306533,0.304293,0.302108,0.299975,0.297891,0.295852,0.29385,0.291863,0.289893,0.287949,0.28603,0.284139,0.282273,0.28043,0.278609,0.276807,0.275024,0.273262,0.27152,0.269796,0.268092,0.266406,0.264737,0.263424,0.262131,0.260858,0.259605,0.258371,0.257155,0.255957,0.254777,0.253613,0.252467,0.251337,0.250225,0.249128,0.248049,0.246985,0.245935,0.244902,0.243882,0.242877,0.241885,0.240908,0.239945,0.238996,0.23806,0.237138,0.236227,0.23533,0.234445,0.233571,0.232709,0.231859,0.231022,0.230195,0.22938,0.228576,0.227783,0.227,0.226227,0.225464,0.224712,0.223969,0.223236,0.222513,0.2218,0.221096,0.220402,0.219716,0.21904,0.218371,0.217711
e429befba,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,44.1131,44.6879,45.1688,45.5393,45.795,45.9393,45.9797,45.9258,45.7882,45.5776,45.6248,45.8041,45.9841,46.1653,46.3481,46.5329,46.7196,46.9084,47.0994,47.2924,47.452,47.6133,47.7763,47.9409,48.1071,48.2749,48.4441,48.6148,48.7866,48.9596,49.0136,49.0687,49.1251,49.1826,49.2412,49.3008,49.3611,49.4217,49.4819,49.5405,49.7079,49.8607,49.9848,50.0762,50.2407,50.4907,50.7782,51.0845,51.4022,51.7274,52.0907,52.4579,52.828,53.2,53.5733,53.9473,54.3214,54.6948,55.0669,55.4365,55.7941,56.1424,56.4726,56.7516,56.8581,56.9789,57.148,57.3307,57.5165,57.7016,57.9733,58.2399,58.501,58.7565,59.0064,59.2508,59.4894,59.7221,59.9489,60.1695,64.4573,65.0101,65.5577,66.1003,66.6384,67.1721,67.702,68.2281,68.7507,69.2702,69.6924,70.1125,70.5306,70.9467,71.3609,71.7734,72.1841,72.5932,73.0008,73.4068,73.7175,74.0276,74.3369,74.6455,74.9534,75.2605,75.5669,75.8725,76.1774,76.4815,76.691,76.9006,77.11,77.3192,77.5282,77.7368,77.9452,78.1531,78.3607,78.5679,78.6808,78.7941,78.9075,79.0209,79.1343,79.2476,79.3608,79.4738,79.5866,79.6992
e429befba,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
e429befba,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,20.5811,20.0673,19.5672,19.0778,18.5967,18.1224,17.6532,17.1883,16.7265,16.2672,15.7619,15.2583,14.7562,14.2551,13.7548,13.2548,12.7549,12.2548,11.7542,11.2526,10.6746,10.0984,9.5239,8.95084,8.37878,7.80722,7.23528,6.66159,6.08386,5.49789,4.81371,4.08049,3.24925,2.30841,1.62723,1.24244,0.98324,0.784239,0.619295,0.475727,0.333849,0.203376,0.0804711,-0.0377053,-0.153442,-0.268797,-0.385857,-0.506973,-0.635095,-0.774418,-0.946338,-1.15533,-1.43983,-1.94195,-3.17642,-4.32188,-5.24406,-6.09932,-6.93438,-7.76706,-8.69129,-9.62945,-10.5838,-11.5553,-12.5448,-13.5531,-14.5807,-15.6288,-16.6979,-17.7894,-1.79999e-06,-7.19959e-08,-7.40684e-08,-7.57668e-08,-7.8473e-08,-8.00506e-08,-8.285e-08,-8.44283e-08,-8.71547e-08,-5.1006e-07,-1.01677e-07,-1.00278e-07,-1.00744e-07,-9.86638e-08,-9.73202e-08,-9.63282e-08,-9.33264e-08,-9.16395e-08,-8.82392e-08,-9.18415e-07,-8.32551e-08,-7.08073e-08,-5.89217e-08,-4.44702e-08,-2.98349e-08,-1.88235e-08,-6.34593e-10,1.26087e-08,2.61941e-08,-1.126e-06,1.17711e-07,1.41271e-07,1.60379e-07,1.73959e-07,1.877e-07,1.97991e-07,2.04974e-07,2.09519e-07,2.11115e-07,-5.40269e-07,3.02564e-07,2.93509e-07,2.83068e-07,2.70151e-07,2.56461e-07,2.44093e-07,2.29516e-07,2.166e-07,2.02728e-07,2.73285e-06
e429befba,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.00694972,0.8,0.62 delta_degC/(TtCO2),2.26138e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.26763,1.27726,1.28806,1.29977,1.31218,1.32516,1.33858,1.35237,1.36645,1.38076,1.39802,1.41539,1.43285,1.45036,1.46792,1.4855,1.5031,1.52072,1.53834,1.55597,1.57693,1.59787,1.61881,1.63974,1.66068,1.68164,1.70267,1.72386,1.74535,1.76741,1.79696,1.82944,1.86809,1.91366,1.9413,1.94883,1.94804,1.94348,1.93695,1.92934,1.92192,1.91404,1.90595,1.89783,1.88981,1.882,1.87452,1.86747,1.86103,1.85538,1.85173,1.85024,1.85297,1.8676,1.92228,1.9717,2.00833,2.04086,2.07189,2.10243,2.13677,2.1713,2.20614,2.24133,2.27692,2.31295,2.34945,2.38647,2.42403,2.46221,1.57961,1.57186,1.56422,1.55671,1.54931,1.54202,1.53484,1.52776,1.52078,1.51391,1.50713,1.50046,1.49389,1.48741,1.48103,1.47474,1.46854,1.46243,1.4564,1.45046,1.4446,1.43882,1.43313,1.42752,1.42199,1.41653,1.41115,1.40584,1.4006,1.39543,1.39034,1.38531,1.38036,1.37547,1.37065,1.36589,1.36119,1.35656,1.35199,1.34748,1.34302,1.33863,1.33429,1.33002,1.32579,1.32163,1.31752,1.31346,1.30945,1.3055
