ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
efcde1eae,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.6839,21.9938,21.3068,20.6202,19.9316,19.2394,18.5423,17.8387,17.1274,16.4087,15.6785,14.862,14.0962,13.2876,12.4672,11.6343,10.7882,9.92799,9.0523,8.15876,7.24205,6.20893,5.07958,3.42,1.57565,1.23902,1.03221,0.878038,0.753076,0.646864,0.553744,0.463959,0.382686,0.308069,0.238797,0.173882,0.11259,0.0543235,-0.00138289,-0.0549206,-0.106615,-0.159514,-0.210907,-0.261028,-0.310093,-0.358293,-0.405806,-0.452806,-0.499455,-0.545917,-0.59236,-0.641178,-0.69033,-0.740035,-0.790547,-0.842162,-0.895231,-0.950185,-1.00759,-1.06818,-1.13299,-1.65126,-3.85124,-6.05122,-8.25119,-10.4512,-12.6511,-14.8511,-17.0509,-19.2505,-20,-9.86404e-05,-9.46088e-06,-1.01332e-05,-1.12225e-05,-1.2522e-05,-1.39389e-05,-1.56512e-05,-1.75471e-05,-2.02577e-05,-6.51205e-05,-3.06099e-05,-3.39334e-05,-3.88536e-05,-4.44204e-05,-5.12647e-05,-5.9712e-05,-6.98756e-05,-8.51148e-05,-0.000138033,-0.000611807,-0.000680105,-0.00158024,-0.00334293,-0.00555676,-0.00779725,-0.00985658,-0.0116426,-0.0131385,-0.0143407,-0.0152623,-0.0130627,-0.0106402,-0.0080471,-0.00534382,-0.00259547,0.000113099,0.00268371,0.00500317,0.0069389,0.00833877,0.0120112,0.0148118,0.016502,0.0168164,0.0154905,0.0123291,0.00748563,0.00263674,0.000728882,0.00146058
efcde1eae,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29152,1.30515,1.31836,1.33115,1.3435,1.35543,1.36693,1.37799,1.38861,1.39878,1.4085,1.41772,1.42646,1.43469,1.44242,1.44964,1.45633,1.46248,1.46809,1.47315,1.47764,1.48149,1.48464,1.48676,1.48774,1.48851,1.48915,1.48969,1.49016,1.49056,1.4909,1.49119,1.49143,1.49162,1.49177,1.49187,1.49194,1.49198,1.49198,1.49194,1.49188,1.49178,1.49165,1.49148,1.49129,1.49107,1.49082,1.49054,1.49023,1.48989,1.48952,1.48913,1.4887,1.48824,1.48775,1.48723,1.48667,1.48608,1.48546,1.48479,1.48409,1.48307,1.48068,1.47693,1.47181,1.46533,1.45749,1.44828,1.43771,1.42578,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41338,1.41337,1.41337,1.41337,1.41337,1.41337,1.41337,1.41336,1.41336,1.41335,1.41334,1.41333,1.41332,1.41331,1.41331,1.4133,1.4133,1.4133,1.4133,1.4133,1.4133,1.41331,1.41331,1.41332,1.41333,1.41334,1.41335,1.41336,1.41337,1.41337,1.41337,1.41337,1.41337
efcde1eae,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),-0.000458145,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.014064,0.0136361,0.0132102,0.0127845,0.0123576,0.0119284,0.0114962,0.01106,0.010619,0.0101734,0.00972066,0.00921442,0.00873962,0.00823829,0.00772966,0.00721328,0.0066887,0.00615536,0.00561242,0.00505843,0.00449007,0.00384953,0.00314934,0.0021204,0.000976901,0.00076819,0.000639972,0.000544384,0.000466907,0.000401056,0.000343321,0.000287655,0.000237265,0.000191003,0.000148054,0.000107807,6.98059e-05,3.36806e-05,-8.57394e-07,-3.40507e-05,-6.61015e-05,-9.88989e-05,-0.000130762,-0.000161837,-0.000192257,-0.000222141,-0.0002516,-0.000280739,-0.000309662,-0.000338469,-0.000367263,-0.000397531,-0.000428005,-0.000458822,-0.000490139,-0.00052214,-0.000555043,-0.000589115,-0.000624704,-0.000662272,-0.000702456,-0.00102378,-0.00238777,-0.00375175,-0.00511574,-0.00647972,-0.0078437,-0.00920766,-0.0105716,-0.0119353,-0.0124,-6.1157e-08,-5.86574e-09,-6.28259e-09,-6.95792e-09,-7.76361e-09,-8.64212e-09,-9.70371e-09,-1.08792e-08,-1.25597e-08,-4.03747e-08,-1.89781e-08,-2.10387e-08,-2.40892e-08,-2.75407e-08,-3.17841e-08,-3.70215e-08,-4.33229e-08,-5.27712e-08,-8.55802e-08,-3.79321e-07,-4.21665e-07,-9.79747e-07,-2.07262e-06,-3.44519e-06,-4.8343e-06,-6.11108e-06,-7.21844e-06,-8.14584e-06,-8.89121e-06,-9.46261e-06,-8.09887e-06,-6.5969e-06,-4.9892e-06,-3.31317e-06,-1.60919e-06,7.01216e-08,1.6639e-06,3.10197e-06,4.30212e-06,5.17003e-06,7.44696e-06,9.1833e-06,1.02313e-05,1.04262e-05,9.6041e-06,7.64401e-06,4.64109e-06,1.63478e-06,4.51907e-07,9.05559e-07
efcde1eae,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999997,0.999991,0.999972,0.999912,0.999683,0.998715,0.990066,0.913102,0.876056,0.847708,0.823705,0.802494,0.783298,0.765654,0.747991,0.731519,0.71605,0.701444,0.687587,0.674392,0.661784,0.6497,0.638087,0.626898,0.615498,0.604492,0.593846,0.583527,0.573505,0.563752,0.554244,0.544955,0.535862,0.526942,0.517758,0.508722,0.499807,0.490986,0.482227,0.473498,0.46476,0.455962,0.447044,0.437926,0.38001,0.305854,0.300386,0.300025,0.300002,0.3,0.3,0.3,0.3,0.3,0.649979,0.649998,0.649998,0.649998,0.649997,0.649997,0.649997,0.649996,0.649996,0.649986,0.649993,0.649993,0.649992,0.64999,0.649989,0.649987,0.649985,0.649982,0.64997,0.649867,0.649852,0.649657,0.649275,0.648794,0.648308,0.647861,0.647474,0.647149,0.646888,0.646688,0.647165,0.647691,0.648254,0.64884,0.649437,0.650025,0.650582,0.651086,0.651506,0.651809,0.652606,0.653214,0.653581,0.653649,0.653361,0.652675,0.651624,0.650572,0.650158,0.650317
efcde1eae,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),-4.99995e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,314.987,336.98,358.287,378.907,398.839,418.078,436.621,454.459,471.587,487.995,503.674,518.536,532.632,545.92,558.387,570.021,580.809,590.737,599.79,607.948,615.19,621.399,626.479,629.899,631.475,632.714,633.746,634.624,635.377,636.024,636.578,637.042,637.424,637.732,637.971,638.145,638.258,638.312,638.31,638.256,638.149,637.989,637.779,637.518,637.207,636.849,636.443,635.991,635.491,634.945,634.353,633.712,633.021,632.281,631.491,630.649,629.753,628.803,627.796,626.727,625.594,623.943,620.092,614.041,605.789,595.338,582.687,567.836,550.785,531.535,511.535,511.535,511.535,511.535,511.535,511.535,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.534,511.533,511.533,511.531,511.528,511.522,511.514,511.504,511.493,511.48,511.465,511.45,511.437,511.426,511.418,511.413,511.41,511.41,511.413,511.418,511.425,511.433,511.445,511.46,511.477,511.494,511.509,511.521,511.529,511.531,511.532,511.534
efcde1eae,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.640334,0.615876,0.594409,0.575324,0.558177,0.542633,0.528438,0.51539,0.503328,0.492125,0.481672,0.471868,0.46266,0.453977,0.445768,0.437986,0.430591,0.42355,0.416833,0.410411,0.404261,0.398359,0.392687,0.387177,0.381808,0.376713,0.371879,0.367287,0.362916,0.358752,0.354776,0.350969,0.347314,0.3438,0.340419,0.33716,0.334018,0.330984,0.328051,0.325215,0.322469,0.319807,0.317224,0.314716,0.312279,0.30991,0.307605,0.305361,0.303175,0.301045,0.298967,0.29694,0.294962,0.293031,0.291144,0.2893,0.287497,0.285733,0.284007,0.282317,0.280662,0.279027,0.277376,0.275708,0.274028,0.272337,0.270639,0.268935,0.267227,0.265518,0.263834,0.262541,0.261267,0.260013,0.258778,0.257561,0.256362,0.25518,0.254016,0.252868,0.251736,0.250621,0.249523,0.24844,0.247374,0.246322,0.245286,0.244264,0.243256,0.242262,0.241282,0.240316,0.239363,0.238424,0.237499,0.236585,0.235684,0.234797,0.23392,0.233055,0.232201,0.231359,0.230529,0.229711,0.228903,0.228106,0.22732,0.226545,0.225779,0.225023,0.224277,0.223541,0.222814,0.222098,0.221391,0.220693,0.220004,0.219324,0.218653,0.217989,0.217335
efcde1eae,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),43.478,44.11,44.7241,45.3155,45.8818,46.4227,46.9388,47.4314,47.9022,48.3528,48.8606,49.1399,49.4161,49.6896,49.961,50.2307,50.4992,50.7666,51.0333,51.2995,51.5652,51.7947,52.0276,52.2581,52.4884,52.7186,52.9487,53.1788,53.4089,53.6388,53.8682,53.9602,54.0465,54.0965,54.1324,54.2771,54.4325,54.5927,54.7559,54.9213,55.0883,55.4143,55.7407,56.0673,56.3942,56.7212,57.0484,57.3758,57.7034,58.0311,58.3589,58.7225,59.0856,59.4482,59.8105,60.1725,60.5342,60.8957,61.257,61.618,61.9789,62.3265,62.6733,63.0195,63.365,63.7101,64.0546,64.3987,64.7424,65.0856,65.4284,65.8773,66.2579,66.6337,67.005,67.3723,67.7356,68.0955,68.4521,68.8057,69.2341,70.5431,71.0171,71.4902,71.9624,72.4337,72.9044,73.3743,73.8436,74.3123,74.7805,75.1511,75.5223,75.894,76.266,76.6383,77.0107,77.3833,77.756,78.1287,78.5015,78.7776,79.0546,79.3323,79.6106,79.8895,80.1687,80.4483,80.7281,81.0081,81.2883,81.4723,81.6572,81.8429,82.0293,82.2162,82.4036,82.5912,82.7792,82.9673,83.1556,83.2478,83.341,83.4349,83.5295,83.6245,83.7198,83.8155,83.9115,84.0077,84.1041
efcde1eae,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
efcde1eae,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,22.6839,21.9938,21.3068,20.6202,19.9316,19.2394,18.5423,17.8387,17.1274,16.4087,15.6785,14.862,14.0962,13.2876,12.4672,11.6343,10.7882,9.92799,9.0523,8.15876,7.24205,6.20893,5.07958,3.42,1.57565,1.23902,1.03221,0.878038,0.753076,0.646864,0.553744,0.463959,0.382686,0.308069,0.238797,0.173882,0.11259,0.0543235,-0.00138289,-0.0549206,-0.106615,-0.159514,-0.210907,-0.261028,-0.310093,-0.358293,-0.405806,-0.452806,-0.499455,-0.545917,-0.59236,-0.641178,-0.69033,-0.740035,-0.790547,-0.842162,-0.895231,-0.950185,-1.00759,-1.06818,-1.13299,-1.65126,-3.85124,-6.05122,-8.25119,-10.4512,-12.6511,-14.8511,-17.0509,-19.2505,-20,-9.86404e-05,-9.46088e-06,-1.01332e-05,-1.12225e-05,-1.2522e-05,-1.39389e-05,-1.56512e-05,-1.75471e-05,-2.02577e-05,-6.51205e-05,-3.06099e-05,-3.39334e-05,-3.88536e-05,-4.44204e-05,-5.12647e-05,-5.9712e-05,-6.98756e-05,-8.51148e-05,-0.000138033,-0.000611807,-0.000680105,-0.00158024,-0.00334293,-0.00555676,-0.00779725,-0.00985658,-0.0116426,-0.0131385,-0.0143407,-0.0152623,-0.0130627,-0.0106402,-0.0080471,-0.00534382,-0.00259547,0.000113099,0.00268371,0.00500317,0.0069389,0.00833877,0.0120112,0.0148118,0.016502,0.0168164,0.0154905,0.0123291,0.00748563,0.00263674,0.000728882,0.00146058
efcde1eae,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0112294,0.3,0.62 delta_degC/(TtCO2),1.75691e-33,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.179305,0.183467,0.187833,0.192373,0.197066,0.201894,0.206843,0.211909,0.217091,0.222368,0.227777,0.234087,0.239765,0.245939,0.252224,0.258622,0.265138,0.271778,0.278554,0.28549,0.292645,0.300943,0.310404,0.326317,0.344609,0.344224,0.342378,0.340046,0.33752,0.334924,0.332317,0.329816,0.327329,0.324873,0.322457,0.320088,0.31777,0.315503,0.313291,0.311131,0.309025,0.306996,0.305015,0.30308,0.301191,0.299346,0.297546,0.29579,0.294076,0.292405,0.290775,0.289207,0.287681,0.286196,0.284752,0.283351,0.281992,0.28068,0.279415,0.278202,0.277048,0.2795,0.295382,0.311326,0.327311,0.343318,0.359327,0.375322,0.391288,0.407208,0.41015,0.250717,0.2495,0.248302,0.247123,0.24596,0.244816,0.243687,0.242576,0.241479,0.240399,0.239334,0.238285,0.237251,0.236232,0.235229,0.234239,0.233263,0.232301,0.231352,0.230419,0.229496,0.228592,0.227704,0.226833,0.225973,0.225123,0.224285,0.223455,0.222635,0.221824,0.221008,0.220202,0.219407,0.218621,0.217846,0.217082,0.216328,0.215585,0.214853,0.214134,0.213413,0.212705,0.212013,0.211337,0.210677,0.210035,0.209409,0.208792,0.208168,0.207539
