ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
f5109b382,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.2109,16.6176,16.0392,15.4767,14.9217,14.3747,13.8341,13.2987,12.7675,12.1898,11.6153,11.0435,10.4738,9.90567,9.33851,8.77147,8.20323,7.63167,7.05301,6.38729,5.68582,4.53435,2.33437,1.55399,1.38099,1.25727,1.15947,1.07798,1.0078,0.936677,0.873837,0.817458,0.766285,0.719392,0.676103,0.635874,0.598294,0.563019,0.529771,0.495065,0.462278,0.431211,0.401692,0.373575,0.346733,0.321053,0.296438,0.272801,0.250064,0.226162,0.203162,0.181006,0.159634,0.138995,0.119041,0.0997331,0.0810273,0.0628876,0.0452813,0.0266687,0.00860453,-0.00894287,-0.0259985,-0.0425845,-0.0587262,-0.0744418,-0.0897544,-0.104682,-0.119243,-5.47043e-06,5.63939e-07,-5.16681e-07,-1.61169e-07,-2.05858e-07,-2.15234e-07,-2.21601e-07,-2.67835e-07,-1.26524e-07,-1.58944e-06,-1.69643e-07,-3.07383e-07,-2.70289e-07,-2.66098e-07,-2.63417e-07,-2.60639e-07,-2.51359e-07,-2.78941e-07,-1.43472e-07,-2.7114e-06,-1.2635e-07,-2.19915e-07,-1.54734e-07,-1.15089e-07,-7.51287e-08,-4.55158e-08,6.38988e-09,1.77795e-08,1.51982e-07,-3.24855e-06,4.12232e-07,3.74989e-07,4.53059e-07,4.89946e-07,5.26834e-07,5.5453e-07,5.7376e-07,5.73436e-07,6.21108e-07,-1.54638e-06,8.78206e-07,8.02667e-07,7.87895e-07,7.50453e-07,7.11623e-07,6.76867e-07,6.28764e-07,6.32022e-07,5.00503e-07,7.59522e-06
f5109b382,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31339,1.32369,1.33364,1.34323,1.35249,1.3614,1.36997,1.37822,1.38614,1.39369,1.4009,1.40774,1.41424,1.42038,1.42617,1.43161,1.43669,1.44142,1.4458,1.44976,1.45328,1.45609,1.45754,1.4585,1.45936,1.46014,1.46086,1.46153,1.46215,1.46273,1.46327,1.46378,1.46426,1.4647,1.46512,1.46552,1.46589,1.46624,1.46656,1.46687,1.46716,1.46742,1.46767,1.46791,1.46812,1.46832,1.4685,1.46867,1.46883,1.46897,1.46909,1.46921,1.4693,1.46939,1.46946,1.46953,1.46958,1.46962,1.46964,1.46966,1.46967,1.46966,1.46964,1.46962,1.46958,1.46953,1.46948,1.46941,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934,1.46934
f5109b382,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),-0.000111572,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0106708,0.0103029,0.0099443,0.00959557,0.00925146,0.00891229,0.00857711,0.00824519,0.00791587,0.0075577,0.0072015,0.00684695,0.00649374,0.00614152,0.00578988,0.00543831,0.005086,0.00473163,0.00437286,0.00396012,0.00352521,0.0028113,0.00144731,0.000963473,0.000856213,0.000779509,0.000718871,0.000668347,0.000624838,0.00058074,0.000541779,0.000506824,0.000475097,0.000446023,0.000419184,0.000394242,0.000370942,0.000349072,0.000328458,0.00030694,0.000286612,0.000267351,0.000249049,0.000231616,0.000214974,0.000199053,0.000183791,0.000169137,0.00015504,0.00014022,0.000125961,0.000112224,9.89731e-05,8.61769e-05,7.38053e-05,6.18345e-05,5.0237e-05,3.89903e-05,2.80744e-05,1.65346e-05,5.33481e-06,-5.54458e-06,-1.61191e-05,-2.64024e-05,-3.64102e-05,-4.61539e-05,-5.56477e-05,-6.49025e-05,-7.39307e-05,-3.39167e-09,3.49641e-10,-3.20342e-10,-9.99246e-11,-1.27632e-10,-1.33445e-10,-1.37393e-10,-1.66058e-10,-7.84449e-11,-9.85454e-10,-1.05179e-10,-1.90577e-10,-1.67579e-10,-1.6498e-10,-1.63318e-10,-1.61596e-10,-1.55842e-10,-1.72944e-10,-8.89528e-11,-1.68106e-09,-7.83375e-11,-1.36347e-10,-9.59352e-11,-7.13555e-11,-4.65799e-11,-2.82197e-11,3.96182e-12,1.10233e-11,9.42288e-11,-2.0141e-09,2.55584e-10,2.32493e-10,2.80897e-10,3.03767e-10,3.26637e-10,3.43809e-10,3.55732e-10,3.5553e-10,3.85087e-10,-9.58754e-10,5.44488e-10,4.97654e-10,4.88495e-10,4.65281e-10,4.41206e-10,4.19657e-10,3.89834e-10,3.91854e-10,3.10312e-10,4.70904e-09
f5109b382,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999999,0.999998,0.999996,0.999992,0.999983,0.999966,0.99993,0.999857,0.999673,0.99922,0.996758,0.952822,0.88562,0.862436,0.843591,0.827294,0.812751,0.799519,0.785441,0.77245,0.76036,0.749039,0.738381,0.728309,0.718755,0.709667,0.700998,0.692711,0.683943,0.675556,0.667521,0.659811,0.652403,0.645275,0.638409,0.631787,0.625394,0.619214,0.612689,0.606384,0.60029,0.594393,0.588684,0.583152,0.57779,0.572588,0.567537,0.56263,0.55744,0.552401,0.547505,0.542747,0.538122,0.533623,0.529245,0.524984,0.520835,0.516792,0.549998,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.549999,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.549999,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.550002
f5109b382,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),-4.99991e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.27,366.887,382.927,398.403,413.325,427.7,441.534,454.833,467.6,479.79,491.405,502.449,512.922,522.828,532.167,540.938,549.141,556.773,563.826,570.213,575.899,580.433,582.768,584.322,585.703,586.96,588.12,589.198,590.205,591.142,592.016,592.833,593.6,594.319,594.995,595.631,596.229,596.792,597.322,597.817,598.279,598.711,599.112,599.486,599.833,600.154,600.45,600.723,600.973,601.199,601.402,601.583,601.743,601.882,602.001,602.101,602.182,602.245,602.29,602.317,602.325,602.316,602.29,602.248,602.189,602.114,602.025,601.92,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801,601.801
f5109b382,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588979,0.568341,0.550149,0.533923,0.519309,0.506036,0.493896,0.482726,0.472392,0.46278,0.453806,0.445399,0.437496,0.430045,0.423,0.416324,0.409983,0.403946,0.398187,0.392684,0.387419,0.382331,0.377319,0.372509,0.367936,0.363582,0.359432,0.35547,0.351682,0.348049,0.344556,0.341192,0.337952,0.334825,0.331806,0.328888,0.326065,0.323331,0.320682,0.318112,0.315616,0.313191,0.310833,0.308539,0.306305,0.304129,0.302008,0.29994,0.297923,0.295953,0.29403,0.292152,0.290317,0.288522,0.286767,0.28505,0.283369,0.281723,0.280111,0.278529,0.276977,0.275452,0.273953,0.272481,0.271033,0.26961,0.268211,0.266835,0.265481,0.264151,0.262842,0.261553,0.260286,0.259037,0.257807,0.256595,0.255402,0.254226,0.253067,0.251925,0.250801,0.249693,0.248603,0.247528,0.246469,0.245425,0.244395,0.243381,0.24238,0.241394,0.240422,0.239465,0.238521,0.23759,0.236672,0.235767,0.234875,0.233994,0.233125,0.232268,0.231424,0.230591,0.229769,0.228959,0.22816,0.227371,0.226593,0.225825,0.225067,0.224319,0.223581,0.222853,0.222135,0.221426,0.220727,0.220037,0.219356,0.218683,0.218019
f5109b382,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),43.478,44.102,44.6654,45.1348,45.4937,45.7382,45.8716,45.9016,45.8378,45.691,45.472,45.0212,44.5819,44.7179,44.8566,44.9998,45.1456,45.295,45.448,45.6046,45.7648,45.8924,46.0231,46.1567,46.2931,46.4322,46.5739,46.7178,46.8634,47.01,47.1564,47.1839,47.2009,47.0704,46.5842,46.5671,46.7563,46.9644,47.1829,47.4084,47.6389,48.0043,48.3727,48.7436,49.1163,49.4906,49.866,50.2423,50.6193,50.9967,51.3743,51.787,52.1992,52.6109,53.0221,53.4327,53.8427,54.252,54.6606,55.0684,55.4755,55.8764,56.2759,56.674,57.0709,57.4664,57.8607,58.2537,58.6456,59.0362,59.4257,59.9243,60.4216,60.9177,61.4127,61.9066,62.3994,62.8913,63.3823,63.8725,64.3617,64.8744,65.365,65.8547,66.3436,66.8317,67.3191,67.8057,68.2916,68.7768,69.2614,69.6512,70.0412,70.4314,70.8214,71.2115,71.6013,71.991,72.3805,72.7696,73.1585,73.4535,73.7488,74.0445,74.3403,74.6362,74.9322,75.2281,75.5238,75.8194,76.1149,76.3167,76.519,76.7216,76.9245,77.1275,77.3305,77.5336,77.7366,77.9394,78.1422,78.2514,78.3612,78.4713,78.5817,78.6923,78.8029,78.9135,79.0241,79.1346,79.245
f5109b382,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
f5109b382,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.2109,16.6176,16.0392,15.4767,14.9217,14.3747,13.8341,13.2987,12.7675,12.1898,11.6153,11.0435,10.4738,9.90567,9.33851,8.77147,8.20323,7.63167,7.05301,6.38729,5.68582,4.53435,2.33437,1.55399,1.38099,1.25727,1.15947,1.07798,1.0078,0.936677,0.873837,0.817458,0.766285,0.719392,0.676103,0.635874,0.598294,0.563019,0.529771,0.495065,0.462278,0.431211,0.401692,0.373575,0.346733,0.321053,0.296438,0.272801,0.250064,0.226162,0.203162,0.181006,0.159634,0.138995,0.119041,0.0997331,0.0810273,0.0628876,0.0452813,0.0266687,0.00860453,-0.00894287,-0.0259985,-0.0425845,-0.0587262,-0.0744418,-0.0897544,-0.104682,-0.119243,-5.47043e-06,5.63939e-07,-5.16681e-07,-1.61169e-07,-2.05858e-07,-2.15234e-07,-2.21601e-07,-2.67835e-07,-1.26524e-07,-1.58944e-06,-1.69643e-07,-3.07383e-07,-2.70289e-07,-2.66098e-07,-2.63417e-07,-2.60639e-07,-2.51359e-07,-2.78941e-07,-1.43472e-07,-2.7114e-06,-1.2635e-07,-2.19915e-07,-1.54734e-07,-1.15089e-07,-7.51287e-08,-4.55158e-08,6.38988e-09,1.77795e-08,1.51982e-07,-3.24855e-06,4.12232e-07,3.74989e-07,4.53059e-07,4.89946e-07,5.26834e-07,5.5453e-07,5.7376e-07,5.73436e-07,6.21108e-07,-1.54638e-06,8.78206e-07,8.02667e-07,7.87895e-07,7.50453e-07,7.11623e-07,6.76867e-07,6.28764e-07,6.32022e-07,5.00503e-07,7.59522e-06
f5109b382,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,5996.4614 USD2005/tCO2,0.001,0.0112294,0.1,0.62 delta_degC/(TtCO2),2.99954e-33,0.0237751,0.0895022,0.187488,0.308514,0.445268,0.59247,0.746455,0.90469,1.0654,1.22731,1.3808,1.52401,1.53434,1.54605,1.55845,1.57186,1.5859,1.60043,1.61536,1.63061,1.64943,1.6684,1.68748,1.70664,1.72586,1.74515,1.76451,1.78402,1.80378,1.82406,1.8495,1.87773,1.9393,2.07993,2.11319,2.10064,2.08531,2.06897,2.05233,2.03573,2.02013,2.00461,1.98926,1.97415,1.9593,1.94475,1.93051,1.91657,1.90295,1.88963,1.87682,1.86427,1.85198,1.83994,1.82814,1.81659,1.80527,1.79417,1.7833,1.77264,1.7623,1.75216,1.7422,1.73244,1.72285,1.71343,1.70419,1.69511,1.68619,1.67743,1.66888,1.66047,1.65216,1.64398,1.6359,1.62794,1.6201,1.61235,1.60472,1.59719,1.58397,1.57612,1.56839,1.56079,1.5533,1.54593,1.53866,1.53151,1.52446,1.51751,1.51066,1.50392,1.49728,1.49074,1.48429,1.47794,1.47168,1.46551,1.45942,1.45342,1.44751,1.44168,1.43594,1.43028,1.4247,1.41919,1.41377,1.40842,1.40313,1.39792,1.39279,1.38772,1.38273,1.3778,1.37294,1.36815,1.36342,1.35876,1.35415,1.34961,1.34512,1.34069,1.33633,1.33202,1.32777,1.32358,1.31944,1.31536,1.31132,1.30734
