ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
f6e5c5cf1,netnegs,global_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.8023,19.1546,18.5192,17.8932,17.274,16.6594,16.0479,15.4373,14.8348,14.24,13.5948,12.9464,12.2984,11.6506,11.0025,10.3539,9.7044,9.05338,8.40004,7.74302,7.00506,6.25697,5.48353,4.64453,3.58849,2.03477,1.50672,1.24602,1.06654,0.927119,0.798943,0.690029,0.594578,0.509089,0.431234,0.35943,0.292493,0.229559,0.169939,0.11309,0.0538497,-0.00312466,-0.0581981,-0.111692,-0.163885,-0.215021,-0.265332,-0.315032,-0.36432,-0.413403,-0.466342,-0.519528,-0.573216,-0.627699,-0.683304,-0.740419,-0.799497,-0.861131,-0.926075,-0.995341,-1.07592,-1.16584,-1.26976,-1.3969,-3.52584,-5.72563,-6.90824,-7.92189,-8.93052,-9.95186,-6.26296e-05,-7.76622e-06,-0.000254649,-0.0153719,-0.0339756,-0.051606,-0.0682396,-0.08387,-0.0985124,-0.112164,-0.120203,-0.127332,-0.133569,-0.138911,-0.143371,-0.146954,-0.149658,-0.151489,-0.152443,-0.152523,-0.147376,-0.141381,-0.134555,-0.126905,-0.118452,-0.109214,-0.0991956,-0.0884314,-0.0769396,-0.0647441,-0.0475,-0.0295757,-0.0110291,0.00807581,0.027672,0.0476653,0.0679433,0.0883717,0.108785,0.128986,0.153704,0.17787,0.201119,0.222996,0.242952,0.260325,0.274294,0.283922,0.28809,0.285561
f6e5c5cf1,netnegs,temperature,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30305,1.31492,1.3264,1.3375,1.34821,1.35854,1.36849,1.37806,1.38725,1.39608,1.40451,1.41254,1.42016,1.42739,1.43421,1.44063,1.44664,1.45226,1.45747,1.46227,1.46661,1.47049,1.47389,1.47677,1.47899,1.48025,1.48119,1.48196,1.48262,1.4832,1.48369,1.48412,1.48449,1.4848,1.48507,1.4853,1.48548,1.48562,1.48572,1.48579,1.48583,1.48583,1.48579,1.48572,1.48562,1.48549,1.48532,1.48513,1.4849,1.48464,1.48435,1.48403,1.48368,1.48329,1.48286,1.4824,1.48191,1.48138,1.4808,1.48018,1.47952,1.47879,1.47801,1.47714,1.47495,1.4714,1.46712,1.46221,1.45667,1.4505,1.4505,1.4505,1.4505,1.45049,1.45047,1.45044,1.4504,1.45035,1.45028,1.45022,1.45014,1.45006,1.44998,1.44989,1.4498,1.44971,1.44962,1.44953,1.44943,1.44934,1.44925,1.44916,1.44907,1.449,1.44892,1.44885,1.44879,1.44874,1.44869,1.44865,1.44862,1.4486,1.4486,1.4486,1.44862,1.44865,1.44869,1.44874,1.44881,1.44889,1.44899,1.4491,1.44922,1.44936,1.44951,1.44967,1.44984,1.45002,1.4502,1.45037
f6e5c5cf1,netnegs,temperaturedot,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),-0.012193,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0122775,0.0118758,0.0114819,0.0110938,0.0107099,0.0103289,0.00994969,0.0095711,0.00919759,0.0088288,0.00842879,0.00802675,0.00762501,0.00722335,0.00682157,0.00641943,0.00601673,0.0056131,0.00520803,0.00480067,0.00434314,0.00387932,0.00339979,0.00287961,0.00222486,0.00126156,0.000934164,0.00077253,0.000661255,0.000574814,0.000495345,0.000427818,0.000368638,0.000315635,0.000267365,0.000222846,0.000181346,0.000142326,0.000105362,7.01159e-05,3.33868e-05,-1.93729e-06,-3.60828e-05,-6.92493e-05,-0.000101609,-0.000133313,-0.000164506,-0.00019532,-0.000225879,-0.00025631,-0.000289132,-0.000322108,-0.000355394,-0.000389173,-0.000423648,-0.00045906,-0.000495688,-0.000533901,-0.000574166,-0.000617111,-0.000667071,-0.000722823,-0.000787249,-0.000866076,-0.00218602,-0.00354989,-0.00428311,-0.00491157,-0.00553692,-0.00617015,-3.88303e-08,-4.81505e-09,-1.57882e-07,-9.5306e-06,-2.10649e-05,-3.19957e-05,-4.23085e-05,-5.19994e-05,-6.10777e-05,-6.95416e-05,-7.45258e-05,-7.8946e-05,-8.28127e-05,-8.61245e-05,-8.88901e-05,-9.11117e-05,-9.27879e-05,-9.39233e-05,-9.45149e-05,-9.45644e-05,-9.13729e-05,-8.76564e-05,-8.34238e-05,-7.86813e-05,-7.34404e-05,-6.77129e-05,-6.15013e-05,-5.48275e-05,-4.77025e-05,-4.01413e-05,-2.945e-05,-1.83369e-05,-6.83801e-06,5.007e-06,1.71566e-05,2.95525e-05,4.21249e-05,5.47905e-05,6.74469e-05,7.99715e-05,9.52962e-05,0.000110279,0.000124694,0.000138257,0.00015063,0.000161401,0.000170063,0.000176032,0.000178616,0.000177048
f6e5c5cf1,netnegs,smoothed_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,0.999999,0.999997,0.999993,0.999985,0.999966,0.999916,0.999787,0.999443,0.998428,0.994227,0.962873,0.933132,0.9121,0.894799,0.879721,0.864612,0.850874,0.8382,0.826389,0.815293,0.804807,0.794846,0.785343,0.776244,0.7675,0.758344,0.749516,0.740983,0.732715,0.724685,0.716868,0.70924,0.701782,0.694472,0.68729,0.679666,0.672147,0.664712,0.657338,0.65,0.642671,0.63532,0.627911,0.620397,0.612722,0.604238,0.595336,0.585788,0.575156,0.506234,0.500412,0.500095,0.500027,0.500008,0.500002,0.74999,0.749999,0.749961,0.747617,0.744735,0.742004,0.739429,0.737012,0.73475,0.732643,0.731403,0.730304,0.729344,0.728522,0.727836,0.727285,0.726869,0.726588,0.726441,0.726429,0.72722,0.728142,0.729192,0.73037,0.731673,0.733098,0.734644,0.736307,0.738083,0.73997,0.74264,0.745416,0.748291,0.751252,0.754289,0.757386,0.760525,0.763684,0.766836,0.76995,0.773752,0.777459,0.781013,0.784346,0.787375,0.790004,0.79211,0.793559,0.794185,0.793805
f6e5c5cf1,netnegs,cumulative_emissions,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),-4.99991e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.583,352.738,371.257,389.15,406.424,423.083,439.131,454.569,469.403,483.643,497.238,510.185,522.483,534.134,545.136,555.49,565.194,574.248,582.648,590.391,597.396,603.653,609.136,613.781,617.37,619.404,620.911,622.157,623.224,624.151,624.95,625.64,626.234,626.743,627.175,627.534,627.826,628.056,628.226,628.339,628.393,628.39,628.332,628.22,628.056,627.841,627.576,627.261,626.896,626.483,626.017,625.497,624.924,624.296,623.613,622.872,622.073,621.212,620.286,619.29,618.214,617.049,615.779,614.382,610.856,605.13,598.222,590.3,581.37,571.418,571.418,571.418,571.418,571.402,571.368,571.317,571.248,571.165,571.066,570.954,570.834,570.706,570.573,570.434,570.29,570.144,569.994,569.842,569.69,569.537,569.39,569.249,569.114,568.987,568.869,568.76,568.66,568.572,568.495,568.43,568.383,568.353,568.342,568.35,568.378,568.426,568.493,568.582,568.691,568.82,568.973,569.151,569.352,569.575,569.818,570.079,570.353,570.637,570.925,571.21
f6e5c5cf1,netnegs,learning_factor,Global,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.613148,0.590626,0.570835,0.553227,0.537398,0.523046,0.509938,0.497889,0.486756,0.476419,0.466774,0.457744,0.449261,0.441269,0.433717,0.426564,0.419774,0.413314,0.407157,0.401277,0.395652,0.39027,0.385109,0.380149,0.375357,0.370682,0.366203,0.361926,0.357841,0.353935,0.350189,0.346589,0.343124,0.339787,0.336569,0.333464,0.330463,0.327562,0.324755,0.322035,0.319398,0.316838,0.314352,0.311935,0.309585,0.307297,0.30507,0.302899,0.300783,0.29872,0.296705,0.294739,0.292819,0.290943,0.289109,0.287315,0.28556,0.283842,0.28216,0.280512,0.278895,0.277307,0.275746,0.274211,0.27266,0.271093,0.269533,0.267984,0.266447,0.264921,0.263604,0.262307,0.26103,0.259773,0.258535,0.257315,0.256113,0.254928,0.25376,0.252609,0.251474,0.250357,0.249257,0.248173,0.247104,0.246051,0.245013,0.243989,0.24298,0.241985,0.241004,0.240038,0.239086,0.238147,0.237221,0.236308,0.235409,0.234521,0.233646,0.232782,0.23193,0.231091,0.230263,0.229447,0.228642,0.227848,0.227065,0.226292,0.22553,0.224777,0.224035,0.223302,0.22258,0.221868,0.221165,0.220472,0.219788,0.219112,0.218445,0.217786
f6e5c5cf1,netnegs,baseline,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),43.478,44.0853,44.6617,45.1938,45.6751,46.1039,46.4813,46.8098,47.0929,47.3344,47.5382,47.5823,47.7909,47.9983,48.2053,48.4123,48.6194,48.8271,49.0353,49.2455,49.4579,49.6368,49.8163,49.997,50.1791,50.3626,50.5478,50.7345,50.9227,51.1125,51.3035,51.3672,51.4309,51.4924,51.5455,51.567,51.5115,51.6172,51.7669,51.931,52.1028,52.4262,52.7529,53.0821,53.4131,53.7456,54.0792,54.4138,54.7492,55.0853,55.4218,55.7937,56.1655,56.537,56.9083,57.2794,57.6503,58.0209,58.3913,58.7615,59.1314,59.4904,59.8486,60.2059,60.5624,60.9181,61.273,61.6272,61.9806,62.3333,62.685,63.1535,63.6204,64.0854,64.5477,64.8273,65.0913,65.4481,65.8204,66.1929,66.564,67.9281,68.406,68.8826,69.357,69.8302,70.3025,70.774,71.2447,71.7148,72.1842,72.5584,72.9329,73.3077,73.6827,74.0579,74.4331,74.8083,75.1835,75.5587,75.9337,76.2143,76.4957,76.7776,77.06,77.3428,77.6258,77.9091,78.1924,78.4759,78.7593,78.9486,79.1387,79.3294,79.5206,79.7122,79.904,80.096,80.2881,80.4802,80.6723,80.7704,80.8692,80.9685,81.0681,81.1679,81.2678,81.3677,81.4674,81.5669,81.666
f6e5c5cf1,netnegs,population,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
f6e5c5cf1,netnegs,regional_emissions,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.8023,19.1546,18.5192,17.8932,17.274,16.6594,16.0479,15.4373,14.8348,14.24,13.5948,12.9464,12.2984,11.6506,11.0025,10.3539,9.7044,9.05338,8.40004,7.74302,7.00506,6.25697,5.48353,4.64453,3.58849,2.03477,1.50672,1.24602,1.06654,0.927119,0.798943,0.690029,0.594578,0.509089,0.431234,0.35943,0.292493,0.229559,0.169939,0.11309,0.0538497,-0.00312466,-0.0581981,-0.111692,-0.163885,-0.215021,-0.265332,-0.315032,-0.36432,-0.413403,-0.466342,-0.519528,-0.573216,-0.627699,-0.683304,-0.740419,-0.799497,-0.861131,-0.926075,-0.995341,-1.07592,-1.16584,-1.26976,-1.3969,-3.52584,-5.72563,-6.90824,-7.92189,-8.93052,-9.95186,-6.26296e-05,-7.76622e-06,-0.000254649,-0.0153719,-0.0339756,-0.051606,-0.0682396,-0.08387,-0.0985124,-0.112164,-0.120203,-0.127332,-0.133569,-0.138911,-0.143371,-0.146954,-0.149658,-0.151489,-0.152443,-0.152523,-0.147376,-0.141381,-0.134555,-0.126905,-0.118452,-0.109214,-0.0991956,-0.0884314,-0.0769396,-0.0647441,-0.0475,-0.0295757,-0.0110291,0.00807581,0.027672,0.0476653,0.0679433,0.0883717,0.108785,0.128986,0.153704,0.17787,0.201119,0.222996,0.242952,0.260325,0.274294,0.283922,0.28809,0.285561
f6e5c5cf1,netnegs,carbonprice,WorldOrig,False,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.0197889,0.5,0.62 delta_degC/(TtCO2),5.8872e-34,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.304033,0.368482,0.433939,0.499885,0.543631,0.551201,0.559217,0.567578,0.576213,0.585078,0.59414,0.603392,0.612545,0.621579,0.632004,0.642595,0.65321,0.663836,0.674468,0.685101,0.695734,0.706373,0.717032,0.727743,0.740274,0.753148,0.766809,0.782447,0.804595,0.841826,0.847852,0.84593,0.841837,0.836847,0.831869,0.826569,0.821115,0.815608,0.810103,0.804644,0.79925,0.793941,0.788725,0.78361,0.778718,0.773915,0.769208,0.764596,0.760081,0.755665,0.751346,0.747124,0.743001,0.738975,0.735136,0.731394,0.727753,0.724213,0.720777,0.717448,0.714234,0.711141,0.708179,0.705367,0.702794,0.700446,0.698405,0.69684,0.734546,0.773808,0.792447,0.807449,0.822142,0.836882,0.64382,0.640651,0.637537,0.634725,0.632011,0.629321,0.626649,0.624,0.621369,0.618759,0.6161,0.613466,0.610857,0.608273,0.605712,0.603175,0.600661,0.598168,0.595698,0.593249,0.590762,0.5883,0.58586,0.583445,0.581052,0.578681,0.576334,0.574008,0.571703,0.56942,0.567102,0.564807,0.562536,0.560287,0.558064,0.555865,0.553691,0.551543,0.549424,0.547335,0.545213,0.543126,0.541079,0.539074,0.537119,0.535223,0.533391,0.531637,0.529969,0.528406
